"Col1","Col2","Col3","Platform","Source"
"Contract Variance ",NA,NA,"SM-3 BLOCK IIA","2012-12"
"Variance","Cost Variance","Schedule Variance","SM-3 BLOCK IIA","2012-12"
"Cumulative Variances To Date (2/13/2013)","-3","-16","SM-3 BLOCK IIA","2012-12"
"Previous Cumulative Variances",NA,NA,"SM-3 BLOCK IIA","2012-12"
"Net Change","-3","-16","SM-3 BLOCK IIA","2012-12"
