"Col1","Col2","Col3","Platform","Source"
"Contract Variance ",NA,NA,"SM-3 BLOCK IIA","2014-12"
"Variance","Cost Variance","Schedule Variance","SM-3 BLOCK IIA","2014-12"
"Cumulative Variances To Date (2/13/2013)","-114","-8","SM-3 BLOCK IIA","2014-12"
"Previous Cumulative Variances","-41","-26","SM-3 BLOCK IIA","2014-12"
"Net Change","-73","18","SM-3 BLOCK IIA","2014-12"
