"NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","Platform","Source","Section","Account"
"Total Program Element","737.968","457.529","420.63","308.522","-","308.522","230.466","128.743","41.014","0","0","2,324.87","SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
"MD09: SM-3 Block IIA Co- Development","737.968","441.046","399.284","289.817","-","289.817","211.582","95.892","25.945","0","0","2,201.53","SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
"MT09: SM-3 Block IIA Co-Development Test","-","0","0","2.303","-","2.303","7.68","26.254","12.768","0","0","49.005","SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
"MD40: Program-Wide Support","-","16.483","21.346","16.402","-","16.402","11.204","6.597","2.301","0","0","74.333","SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
