"Col1","Col2","Col3","Platform","Source"
"Contract Variance",NA,NA,"SM-3 BLOCK IIA","Variable"
"Variance","Cost Variance","Schedule Variance","SM-3 BLOCK IIA","Variable"
"Cumulative Variances To Date (2/13/2013)","-41","-26","SM-3 BLOCK IIA","Variable"
"Previous Cumulative Variances","-3","-16","SM-3 BLOCK IIA","Variable"
"Net Change","-38","-10","SM-3 BLOCK IIA","Variable"
