"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Platform"
"2010",NA,NA,NA,NA,NA,NA,NA,"SM-3 BLOCK IIA"
"Project: MD09 SM-3 BLOCK IIA Co-Development",NA,NA,NA,NA,NA,NA,NA,"SM-3 BLOCK IIA"
"Exhibit R-4, RDT&E","FY 2009","FY 2010","FY 2011","FY 2012","FY 2013","FY 2014","FY 2015","SM-3 BLOCK IIA"
"SM-3 Blk llA System Design Review (SDR)","Q1",NA,NA,NA,NA,NA,NA,"SM-3 BLOCK IIA"
"SM-3 Blk IIA Preliminary Design Review (PDR)",NA,NA,NA,"Q1",NA,NA,NA,"SM-3 BLOCK IIA"
"SM-3 Blk IIA Critical Design Review (CDR)",NA,NA,NA,NA,"Q1",NA,NA,"SM-3 BLOCK IIA"
