"Filename","UnitProductionCostAtMainProductionDecisionGBPmil","UnitProductionCostCurrentlyGBPmil","QuantitiesRequiredAtMainInvestmentDecision","QuantitiesRequiredCurrently","Platform","Source","Description"
"A400M_2003_2003_4_NAOunitProductionCostShort.csv","***","***",25,25,"A400M",2003,NA
"A400M_2004_2004_4_NAOunitProductionCostShort.csv","***","***",25,25,"A400M",2004,NA
"A400M_2005_2005_4_NAOunitProductionCostShort.csv","***","***",25,25,"A400M",2005,NA
"A400M_2006_2006_4_NAOunitProductionCostShort.csv","***","***",25,25,"A400M",2006,NA
"A400M_2007_2007_4_NAOunitProductionCostShort.csv","***","***",25,25,"A400M",2007,NA
"A400M_2008_2008_4_NAOunitProductionCostShort.csv","***","***",25,25,"A400M",2008,NA
"A400M_2009_2009_5_NAOunitProductionCost.csv","***","***",25,25,"A400M",2009,"A400M"
"A400M_2010_2010_5_NAOunitProductionCost.csv","***","***",25,22,"A400M",2010,"A400M"
