"Filename","Description","ExpendituretoMarch31PriorYearPoundsMil","Platform","Source","InYearExpenditurePoundsMil","TotalExpenditureToCurrentYearMarch31poundsMil"
"A400M_2003_2003_3_NAOexpenditureToDate.csv","Expenditure to 31 March 2003 (£m)","2","A400M",2003,NA,NA
"A400M_2004_2004_3_NAOexpenditureToDate.csv","Expenditure to 31 March 2004 (£m)","38","A400M",2004,NA,NA
"A400M_2005_2005_3_NAOexpenditureToDate.csv","Expenditure to 31 March 2005 (£m)","105","A400M",2005,NA,NA
"A400M_2006_2006_3_NAOexpenditureToDate.csv","Expenditure to 31 March 2006 (£m)","199","A400M",2006,NA,NA
"A400M_2007_2007_3_NAOexpenditureToDate.csv","Expenditure to 31 March 2007 (£m)","334","A400M",2007,NA,NA
"A400M_2008_2008_3_NAOexpenditureToDate.csv","Expenditure to 31 March 2008 (£m)","564","A400M",2008,NA,NA
"A400M_2010_2010_6_NAOexpenditureToDate.csv","Assessment Phase (£m)","1","A400M",2010,"0","1"
"A400M_2010_2010_6_NAOexpenditureToDate.csv","Demonstration & Manufacture Phase (£m)","856","A400M",2010,"74","930"
"A400M_2010_2010_6_NAOexpenditureToDate.csv","Support Phase / Service / PFI Cost (£m)","-","A400M",2010,"-","-"
"A400M_2011_2011_5_NAOexpenditureToDate.csv","Assessment Phase","1","A400M",2011,"0","1"
"A400M_2011_2011_5_NAOexpenditureToDate.csv","Demonstration & Manufacture Phase","849","A400M",2011,"20","869"
"A400M_2011_2011_5_NAOexpenditureToDate.csv","Support Phase / Service / PFI Cost","0","A400M",2011,"0","0"
"A400M_2012_2012_5_NAOexpenditureToDate.csv","Assessment Phase","1","A400M",2012,"0","1"
"A400M_2012_2012_5_NAOexpenditureToDate.csv","Demonstration and Manufacture Phase","869","A400M",2012,"14","883"
"A400M_2012_2012_5_NAOexpenditureToDate.csv","Support Phase / PFI Cost","0","A400M",2012,"0","0"
"A400M_2013_2013_5_NAOexpenditureToDate.csv","Assessment Phase","1","A400M",2013,"0","1"
"A400M_2013_2013_5_NAOexpenditureToDate.csv","Demonstration & Manufacture Phase","884","A400M",2013,"58","942"
"A400M_2013_2013_5_NAOexpenditureToDate.csv","Support Phase /PFI Cost","0","A400M",2013,"76","76"
"A400M_2014_2014_5_NAOexpenditureToDate.csv","Assessment Phase","1","A400M",2014,"0","1"
"A400M_2014_2014_5_NAOexpenditureToDate.csv","Demonstration & Manufacture Phase","942","A400M",2014,"288","1230"
"A400M_2014_2014_5_NAOexpenditureToDate.csv","Support Phase / Phase Service /PFI Cost","76","A400M",2014,"71","147"
"A400M_2015_2015_6_NAOexpenditureToDate.csv","Assessment Phase","1","A400M",2015,"0","1"
"A400M_2015_2015_6_NAOexpenditureToDate.csv","Demonstration & Manufacture Phase","1230","A400M",2015,"519","1750"
"A400M_2015_2015_6_NAOexpenditureToDate.csv","Support Phase (In Service Support)","52","A400M",2015,"158","210"
"A400M_2015_2015_6_NAOexpenditureToDate.csv","Support Phase (Training)","147","A400M",2015,"29","176"
