"Filename","Appropriation","SARbaselineDevelopmentEstimateConstantMil","CurrentAPBdevelopmentObjectiveConstantMil","CurrentAPBdevelopmentThresholdConstantMil","CurrentEstimateConstantMil","SARbaselineDevelopmentEstimateThenYearMil","CurrentAPBdevelopmentObjectiveThenYearMil","CurrentEstimateThenYearMil","Platform","Source","Section","DeflatorYear","Quantity","SARbaselineDevelopmentEstimate","CurrentAPBdevelopment","CurrentEstimate"
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","RDT&E ",4992.3,4992.3,NA,3462.7,5737,5737,3965.3,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","Procurement",17759.1,17759.1,NA,6165.7,24158.4,24158.4,8986.9,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","Flyaway",15071.8,NA,NA,5662.5,20409.3,NA,8257.9,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","Recurring",14809.2,NA,NA,5590.5,20095.8,NA,8170,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","Non Recurring",262.6,NA,NA,72,313.5,NA,87.9,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","Support",2687.3,NA,NA,503.2,3749.1,NA,729,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","Other Support",1550.4,NA,NA,503.2,2125.1,NA,729,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","Initial Spares   ",1136.9,NA,NA,0,1624,NA,0,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","MILCON",0,0,NA,0,0,0,0,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","Acq O&M ",0,0,NA,0,0,0,0,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_1_CostSummaryCost_TotalProgram.csv","Total",22751.4,22751.4,NA,9628.4,29895.4,29895.4,12952.2,"MEADS","2011-12","TotalProgram","2004 $M",NA,NA,NA,NA
"MEADS_Cost_Summary_2011-12_2_CostSummaryCost_FireUnit.csv","RDT&E ",4531.4,4531.4,5211.1,2758.8,5255,5255,3177.1,"MEADS","2011-12","FireUnit","2004 $M",NA,NA,NA,NA
