"Filename","UCRhistory","Date","PAUC.ConstantMil","APUC.ConstantMil","PAUC.thenyear","APUC.thenyear","Platform","Source","Section","DeflatorYear","PAUC.2000mil","APUC.2000mil"
"MEADS_Unit_Cost_History_2013-12_4_UnitCostHistory_Missile.csv","Prior APB",NA,NA,NA,NA,NA,"MEADS","2013-12","Missile","2004 $M",NA,NA
"MEADS_Unit_Cost_History_2013-12_4_UnitCostHistory_Missile.csv","Current APB","2004-08-01",4.071,3.77,5.272,4.957,"MEADS","2013-12","Missile","2004 $M",NA,NA
"MEADS_Unit_Cost_History_2013-12_4_UnitCostHistory_Missile.csv","Prior Annual SAR","2012-12-01",4.442,3.984,6.327,5.813,"MEADS","2013-12","Missile","2004 $M",NA,NA
"MEADS_Unit_Cost_History_2013-12_4_UnitCostHistory_Missile.csv","Current Estimate","2013-12-01",4.326,3.867,6.22,5.706,"MEADS","2013-12","Missile","2004 $M",NA,NA
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory.csv","Original APB","2001-03-01",69.052,55.308,85.619,70.79,"RQ4","2013-12",NA,"2000 $M",NA,NA
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory.csv","APB as of January 2006","2002-12-01",101.896,56.953,115.459,65.673,"RQ4","2013-12",NA,"2000 $M",NA,NA
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory.csv","Revised Original APB","2007-03-01",150.067,90.831,180.267,111.53,"RQ4","2013-12",NA,"2000 $M",NA,NA
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory.csv","Prior APB","2007-12-01",101.986,56.953,115.459,65.673,"RQ4","2013-12",NA,"2000 $M",NA,NA
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory.csv","Current APB","2007-03-01",150.067,90.831,180.267,111.53,"RQ4","2013-12",NA,"2000 $M",NA,NA
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory.csv","Prior Annual SAR","2012-12-01",168.327,97.304,200.207,117.74,"RQ4","2013-12",NA,"2000 $M",NA,NA
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory.csv","Current Estimate","2013-12-01",169.893,95.6,202.882,116.08,"RQ4","2013-12",NA,"2000 $M",NA,NA
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory2000.csv","Original APB","2001-03-01",NA,NA,85.619,70.79,"RQ4","2013-12",NA,NA,69.052,55.308
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory2000.csv","APB as of January 2006","2002-12-01",NA,NA,115.459,65.673,"RQ4","2013-12",NA,NA,101.896,56.953
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory2000.csv","Revised Original APB","2007-03-01",NA,NA,180.267,111.53,"RQ4","2013-12",NA,NA,150.067,90.831
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory2000.csv","Prior APB","2007-12-01",NA,NA,115.459,65.673,"RQ4","2013-12",NA,NA,101.986,56.953
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory2000.csv","Current APB","2007-03-01",NA,NA,180.267,111.53,"RQ4","2013-12",NA,NA,150.067,90.831
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory2000.csv","Prior Annual SAR","2012-12-01",NA,NA,200.207,117.74,"RQ4","2013-12",NA,NA,168.327,97.304
"RQ4_Unit_Cost_History_2013-12_1_UnitCostHistory2000.csv","Current Estimate","2013-12-01",NA,NA,202.882,116.08,"RQ4","2013-12",NA,NA,169.893,95.6
"JSF_Unit_Cost_2015-12_3_UnitCostHistory_Aircraft.csv","Original APB","2001-10-01",74.567,60.632,81.298,68.934,"JSF","2015-12","Aircraft","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_3_UnitCostHistory_Aircraft.csv","APB as of JAN 2006","2004-03-01",94.837,73.845,100.407,81.826,"JSF","2015-12","Aircraft","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_3_UnitCostHistory_Aircraft.csv","Revised Original APB","2012-03-01",112.529,91.827,135.065,115.697,"JSF","2015-12","Aircraft","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_3_UnitCostHistory_Aircraft.csv","Prior APB","2012-03-01",112.529,91.827,135.065,115.697,"JSF","2015-12","Aircraft","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_3_UnitCostHistory_Aircraft.csv","Current APB","2014-06-01",111.908,91.827,134.638,115.697,"JSF","2015-12","Aircraft","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_3_UnitCostHistory_Aircraft.csv","Prior Annual SAR","2014-12-01",107.755,87.889,131.918,113.208,"JSF","2015-12","Aircraft","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_3_UnitCostHistory_Aircraft.csv","Current Estimate ","2015-12-01",106.537,86.488,129.585,110.695,"JSF","2015-12","Aircraft","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_9_UnitCostHistory_Engine.csv","Original APB","2012-03-01",21.989,17.328,25.99,21.708,"JSF","2015-12","Engine","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_9_UnitCostHistory_Engine.csv","APB as of JAN 2006",NA,NA,NA,NA,NA,"JSF","2015-12","Engine","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_9_UnitCostHistory_Engine.csv","Revised Original APB",NA,NA,NA,NA,NA,"JSF","2015-12","Engine","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_9_UnitCostHistory_Engine.csv","Prior APB","2012-03-01",21.989,17.328,25.99,21.708,"JSF","2015-12","Engine","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_9_UnitCostHistory_Engine.csv","Current APB","2014-06-01",22.496,17.328,26.396,21.708,"JSF","2015-12","Engine","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_9_UnitCostHistory_Engine.csv","Prior Annual SAR","2014-12-01",22.626,17.378,27.274,22.526,"JSF","2015-12","Engine","2012 $M",NA,NA
"JSF_Unit_Cost_2015-12_9_UnitCostHistory_Engine.csv","Current Estimate ","2015-12-01",20.96,15.709,24.685,19.93,"JSF","2015-12","Engine","2012 $M",NA,NA
