ID,PE,PE Title,Budget Activity,Budget Activity Title,Account,Classified,FY 1999,FY 2000,FY 2000 App,FY 2001,FY 2001 App,FY 2001 PB,FY 2002,FY 2002 App,FY 2002 PB,FY 2003,FY 2003 App,FY 2003 PB,FY 2004,FY 2004 App,FY 2004 PB,FY 2005,FY 2005 App,FY 2005 PB,FY 2006,FY 2006 App,FY 2006 PB,FY 2007,FY 2007 App,FY 2007 PB,FY 2008,FY 2008 App,FY 2008 PB,FY 2009,FY 2009 App,FY 2009 PB,FY 2010,FY 2010 App,FY 2010 PB,FY 2010 OCO PB,FY 2010 OCO Sup,FY 2011,FY 2011 CR,FY 2011 CR OCO,FY 2011 PB,FY 2011 OCO PB,FY 2012,FY 2012 App,FY 2012 OCO App,FY 2012 PB,FY 2012 OCO PB,FY 2013,FY 2013 App,FY 2013 OCO App,FY 2013 PB,FY 2013 OCO PB,FY 2014,FY 2014 App,FY 2014 OCO App,FY 2014 PB,FY 2014 OCO PB,FY 2015 App,FY 2015 OCO App,FY 2015 PB,FY 2015 OCO PB,FY 2016 PB,FY 2016 OCO PB
4050,0207131F ,A-10 Squadrons,5,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,13881,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4051,0207131F,A-10 Squadrons,7,Operational Systems Development,3600,,2170,7746,8013,8102,9626,8615,9297,5501,3049,10960,7503,7650,30931,29476,29729,29878,30816,22590,55713,56025,51835,42491,31850,80771,6498,1951,1963,3989,3989,0,11878,12197,9697,0,0,5485,5809,0,5661,0,11006,11051,0,11051,0,12347,13538,0,13538,0,11435,9614,0,9614,0,0,0,0,0,0,0
4052,0604261N,Acoustic Search Sensors,5,System Development & Demonstration,1319,,27905,24782,25810,19022,20545,20766,16140,16676,16825,13311,13621,13929,16706,16940,15831,14418,14590,13363,28297,33569,29522,45789,41984,36764,18742,18658,18325,38418,39652,45790,53913,56086,56369,0,0,63041,72950,0,64834,0,49353,48838,0,56509,0,32507,34299,0,34299,0,28344,29195,0,30208,0,23214,0,23227,0,35763,0
4053,0702806F ,Acquisition and Management Support,7,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5110,1582,1596,10739,4735,3404,26645,17614,17706,0,22141,22317,,0,34428,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4054,0702806F,Acquisition and Management Support,6,Management Support,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25630,0,0,41053,37014,0,18176,18865,18947,0,0,24074,25620,0,24968,0,35830,31962,0,31966,0,27457,42430,0,42430,0,20525,21221,0,28647,0,18644,0,18644,0,15357,0
4055,0605019D8Z,Acquisition Domain,5,,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,3442,3543,3600,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4056,0602905F,Adaptive Versatile Engine Technology (ADVENT),2,Applied Research,3605,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5832,6000,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4057,0203726A,Adv Field Artillery Tactical Data System,7,Operational Systems Development,2040,,34569,34147,40860,35420,36471,36816,35716,36650,36969,44959,44978,38161,28308,28599,28917,18846,17269,17994,16150,16820,16064,18848,18191,17394,16146,16730,16837,16200,16605,15860,29127,29174,23727,0,0,23812,27198,0,24622,0,28649,29500,0,29546,0,26216,32556,0,32556,0,24120,25507,0,30940,0,1273,0,22374,0,0,0
4058,0604501N,Advanced Above Water Sensors,5,System Development & Demonstration,1319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113107,118900,121494,124926,138576,153558,246258,251251,236078,0,0,254778,308719,0,274371,0,245946,247071,0,227358,0,235176,255516,0,255516,0,144589,157871,0,275871,0,19809,0,20409,0,43914,0
4059,0603203F,Advanced Aerospace Sensors,3,Advanced Technology Development,3600,,26260,36360,37948,44774,46381,28311,57625,60914,55809,50988,52482,50589,41015,41124,36550,41607,43837,30634,38471,39782,35157,56634,58228,55150,60877,62332,55549,69902,65115,56916,71700,52786,51482,0,0,42105,45844,0,44677,0,119227,121666,58600,53075,0,32818,37657,0,37657,0,31968,30546,0,30579,0,34334,0,34420,0,42183,0
4060,0603285E,Advanced Aerospace Systems,3,,400,,0,19187,17071,38093,37474,26821,131954,153700,153700,242095,235300,246000,304741,315941,323730,0,0,361067,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4061,0603286E ,Advanced Aerospace Systems,3,Advanced Technology Development,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66919,71420,0,50272,54594,75866,58414,80474,115829,55256,71925,86385,38252,87619,107857,253848,258278,338360,0,0,234389,302543,0,303078,0,94303,98878,0,98878,0,168376,174316,0,174316,0,146789,144804,0,149804,0,129723,0,129723,0,185043,0
4062,0603382N,Advanced Combat Systems Technology,4,Advanced Component Development & Prototypes,1319,,6438,6547,6790,6600,6879,6943,3111,3427,3458,3214,3276,3350,14998,5730,3394,61474,66951,67605,30434,33605,30166,20251,12319,12398,9620,11515,9331,12071,7125,4367,3605,3662,1677,0,0,1613,1866,0,1658,0,1107,1418,0,1418,0,1345,1506,0,1506,0,1510,1563,0,1570,0,1639,0,1646,0,1636,0
4063,0207423F ,Advanced Communications Systems,3,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,11264,11951,12053,14767,11860,12051,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
