PoPstateCode,StateText,Census Region,BEA Region,CSIS Region
AE,U.S. Armed Forces – Europe,Territories,Territories,Territories
AK,Alaska,West,Far West,West
AL,Alabama,South,Southeast,South
AR,Arkansas,South,Southeast,South
AS,American Samoa,Territories,Territories,Territories
AZ,Arizona,West,Southwest,Southwest
CA,California,West,Far West,West
CO,Colorado,West,Rocky Mountain,West
CT,Connecticut,Northeast,New England,Northeast & Mid-Atlantic
DC,District of Columbia,South,Mideast,Northeast & Mid-Atlantic
DE,Delaware,South,Mideast,Northeast & Mid-Atlantic
FL,Florida,South,Southeast,South
GA,Georgia,South,Southeast,South
GU,Guam,Territories,Territories,Territories
HI,Hawaii,West,Far West,West
IA,Iowa,Midwest,Plains,Midwest
ID,Idaho,West,Rocky Mountain,West
IL,Illinois,Midwest,Great Lakes,Midwest
IN,Indiana,Midwest,Great Lakes,Midwest
KS,Kansas,Midwest,Plains,Midwest
KY,Kentucky,South,Southeast,South
LA,Louisiana,South,Southeast,South
MA,Massachusetts ,Northeast,New England,Northeast & Mid-Atlantic
MD,Maryland,South,Mideast,Northeast & Mid-Atlantic
ME,Maine,Northeast,New England,Northeast & Mid-Atlantic
MI,Michigan,Midwest,Great Lakes,Midwest
MN,Minnesota,Midwest,Plains,Midwest
MO,Missouri,Midwest,Plains,Midwest
MP,Northern Mariana Islands,Territories,Territories,Territories
MS,Mississippi,South,Southeast,South
MT,Montana,West,Rocky Mountain,West
NC,North Carolina,South,Southeast,South
ND,North Dakota,Midwest,Plains,Midwest
NE,Nebraska,Midwest,Plains,Midwest
NH,New Hampshire,Northeast,New England,Northeast & Mid-Atlantic
NJ,New Jersey,Northeast,Mideast,Northeast & Mid-Atlantic
NM,New Mexico,West,Southwest,Southwest
NV,Nevada,West,Far West,West
NY,New York,Northeast,Mideast,Northeast & Mid-Atlantic
OH,Ohio,Midwest,Great Lakes,Midwest
OK,Oklahoma,South,Southwest,Southwest
OR,Oregon,West,Far West,West
PA,Pennsylvania,Northeast,Mideast,Northeast & Mid-Atlantic
PR,Puerto Rico,Territories,Territories,Territories
RI,Rhode Island,Northeast,New England,Northeast & Mid-Atlantic
SC,South Carolina,South,Southeast,South
SD,South Dakota,Midwest,Plains,Midwest
TN,Tennessee,South,Southeast,South
TX,Texas,South,Southwest,Southwest
UT,Utah,West,Rocky Mountain,West
VA,Virginia,South,Southeast,South
VI,Virgin Islands,Territories,Territories,Territories
VT,Vermont,Northeast,New England,Northeast & Mid-Atlantic
WA,Washington,West,Far West,West
WI,Wisconsin,Midwest,Great Lakes,Midwest
WV,West Virginia,South,Southeast,South
WY,Wyoming,West,Rocky Mountain,West
:,Unlabeled,Unlabeled,Unlabeled,Unlabeled
