ProductOrServiceCode,ProductOrServiceCodeText,PrivateSecurityCategory,CBOcategory,ProductOrServiceArea,ProductOrServiceCode1L,ProductOrServiceCode2L,ProductOrServiceCode2R,ProductOrServiceCode1L1R,DoDportfolio,CSISPortfolio,Simple,HostNation3Category,JointPortfolio
,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL
: ,NULL,NULL,NULL,NULL,:,: ,: ,: ,NULL,NULL,NULL,NULL,NULL
1000,,ERROR,ERROR,Products,1,10,0,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1005,"GUNS, THROUGH 30 MM",ERROR,ERROR,Products,1,10,5,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1010,"GUNS, OVER 30 MM UP TO 75 MM",ERROR,ERROR,Products,1,10,10,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1015,"GUNS, 75 MM THROUGH 125 MM",ERROR,ERROR,Products,1,10,15,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1020,GUNS OVER 125 MM THROUGH 150 MM,ERROR,ERROR,Products,1,10,20,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1025,GUNS OVER 150 MM THROUGH 200 MM,ERROR,ERROR,Products,1,10,25,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1030,GUNS OVER 200 MM THROUGH 300 MM,ERROR,ERROR,Products,1,10,30,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1035,"GUNS, OVER 300 MM",ERROR,ERROR,Products,1,10,35,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1040,CHEMICAL WEAPONS AND EQUIPMENT,ERROR,ERROR,Products,1,10,40,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1045,"LAUNCHERS, TORPEDO AND DEPTH CHARGE",ERROR,ERROR,Products,1,10,45,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1055,"LAUNCHERS, ROCKET AND PYROTECHNIC",ERROR,ERROR,Products,1,10,55,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1070,"NETS AND BOOMS, ORDNANCE",ERROR,ERROR,Products,1,10,70,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1075,DEGAUSSING & MINE SWEEPING EQUIPMEN,ERROR,ERROR,Products,1,10,75,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1080,CAMOUFLAGE AND DECEPTION EQUIPMENT,ERROR,ERROR,Products,1,10,80,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1090,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES,ERROR,ERROR,Products,1,10,90,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1095,MISCELLANEOUS WEAPONS,ERROR,ERROR,Products,1,10,95,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1105,NUCLEAR BOMBS,ERROR,ERROR,Products,1,11,5,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1110,NUCLEAR PROJECTILES,ERROR,ERROR,Products,1,11,10,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1115,NUCLEAR WARHEADS & WARHEAD SECTIONS,ERROR,ERROR,Products,1,11,15,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1120,NUCLEAR DEPTH CHARGES,ERROR,NULL,Products,1,11,20,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1125,NULL,NULL,NULL,Products,1,11,25,15,Weapons & Ammunition,NULL,Products,NULL,NULL
1127,NUCLEAR ROCKETS,ERROR,ERROR,Products,1,11,27,17,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1130,"CONVERSION KITS, NUCLEAR ORDNANCE",ERROR,ERROR,Products,1,11,30,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1135,"FUZING & FIRING DEVICES, NUCLEAR OR",ERROR,ERROR,Products,1,11,35,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1140,NUCLEAR COMPONENTS,ERROR,ERROR,Products,1,11,40,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1145,"EXPLOSIVE & PYROTECHNIC COMPS, NUCL",ERROR,ERROR,Products,1,11,45,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1190,"SPEC TEST & HANDLING EQ, NUCLEAR EQ",ERROR,ERROR,Products,1,11,90,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1195,MISCELLANEOUS NUCLEAR ORDNANCE,ERROR,ERROR,Products,1,11,95,15,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1210,FIRE CONTROL DIRECTORS,ERROR,ERROR,Products,1,12,10,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1220,FIRE CONT COMPUTING SIGHTS & DEVICE,ERROR,ERROR,Products,1,12,20,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1230,"FIRE CONTROL SYSTEMS, COMPLETE",ERROR,ERROR,Products,1,12,30,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1240,OPTICAL SIGHTING & RANGING EQUIPMEN,ERROR,ERROR,Products,1,12,40,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
1250,FIRE CONTROL STABILIZING MECHANISMS,ERROR,ERROR,Products,1,12,50,10,Weapons & Ammunition,Weapons & Ammunition,Products,Commodity,Weapons and Vehicles
