systemequipmentcode,CSIScontractID
125,9937700
3AHL,18897440
101,19222614
1HYT,486818
326,22177084
N18,14341504
CAA,2349033
548,10061133
3ACD,20456971
M16,17697003
1CAA,9421281
125,9896724
280,496497
3BSP,20249954
530,18909238
ZHK,8252101
276,18659372
2CPR,2962068
180,3052733
3AFC,1200122
ZSE,9287473
210,1443137
1CAA,17550863
360,18171272
ZDE,19187587
401,10069560
2ZBC,19106530
108,7933091
3GNP,9863280
2BJB,2977865
ZOP,15462240
168,10081954
282,3252775
2BJB,18891365
2AFU,18957674
1AHK,9210137
180,16671385
220,25153776
294,24502772
369,10104742
115,24568052
3AEC,9861260
2AFX,18956848
ZOP,10122444
3ACR,9890070
1DBV,9136853
ZOP,9285005
2ASF,18893024
ZSE,24778146
220,18787167
234,20419331
200,1404807
2AHD,9207874
168,1386259
2SAF,3464903
ZOP,10122859
156,24580581
3ABK,9906174
1AIA,9205603
1ZOP,543141
4CAA,2339877
302,1383709
N02,19243721
3AFF,18956973
549,18660124
3ZDE,9917526
2AFX,18948773
3GAJ,9823610
3AFH,9939123
ZOP,24686541
N21,9932947
515,16997346
755,25654329
1AHK,502268
300,9870434
125,10050143
3GYA,9883130
ZOP,10123257
2AVG,18950031
2AAC,3191550
180,18775754
1EBT,9189025
ZOP,9922307
3BSR,9911584
3ACA,4073126
2BTF,18953251
156,24580979
ZHK,8439832
3BSP,9888684
2BJB,4086155
3BSR,20161871
3BSR,9914395
1CAA,18402182
102,10067812
180,3046470
ZDE,19095625
3CNF,1190029
ZDE,9922310
3AFH,9934609
349,9814144
4CAA,621212
1ZDE,9328180
CAA,24604963
ZBC,9919792
1DPI,9193004
CAA,9421603
ZBC,19426457
180,17909513
1DPP,9173717
380,8444115
ZOP,9285420
554,18700445
2ACD,3240641
ZHK,21561797
126,18917020
1DCP,481764
174,7987990
3ACD,4043266
180,3057768
220,3051159
3GBN,1160509
5ZSE,9323128
125,9936701
1DCP,9171379
125,10075719
128,7972438
103,22235043
ZOP,24821397
156,18923614
299,7959224
3ABH,9904616
198,18983058
2SJS,2965663
2AHP,18950459
2AHP,18949463
3BSN,1187706
1ZDE,9284270
174,24572031
ZHK,19907105
5ZSE,558239
1EDK,489069
1DJN,9181142
166,1431262
2AHV,18894591
3AFH,9892299
ZOP,19092691
106,7936242
CAA,8040464
124,9837879
2AHD,3241078
M15,9813522
2SDR,18769268
ZSE,9285246
2AVQ,2961896
1ACH,577756
2AHJ,18888271
2BSH,20393006
3ACR,1186638
3ZOP,9925538
3AFH,20246015
2SDN,16623497
ZDE,19251560
ZOP,24885742
128,24561055
549,22184318
1DAL,9172427
2AFX,3242672
CAA,16978686
1AIC,9205006
100,8295485
125,5272713
3ZDE,9919753
156,24577879
106,5289467
M16,24995930
3ACA,1158723
1AIA,498839
575,24528979
2AED,18957035
2AVG,4077038
1DBV,485818
3BJG,4085175
1AHC,9122270
503,1423890
2ZDE,19256786
ZOP,24893817
1AIC,496244
CAA,1178625
178,3589146
3AFH,9937311
1EBU,488540
ZOP,10008819
3ZOP,9917984
3ZOP,9925123
2ZOP,19141516
125,1392324
549,18894098
ZOP,17037894
3BSR,9913396
ZOP,24751699
178,14393017
CAA,8040049
1CAA,620514
ZOP,9276744
ZHK,11977720
187,10082541
782,10046272
N21,10072961
156,7988511
549,3244788
3AFF,1187187
180,18715110
2SAF,3465318
2GCQ,2977787
360,18169858
1AHK,9135218
125,9936704
284,2970428
1CAA,9824884
2SDA,18905472
115,9209029
2AEB,4084180
3GAU,9844274
2AFX,3238447
2AVG,3556879
401,1383443
156,24579980
5ZOP,9287956
3ACR,20241977
278,24565891
503,10098105
327,10061477
1FFO,460880
2AFX,4079218
351,10061985
3BSR,1187900
ZHK,9971888
ZBC,9284425
ZOP,2343272
575,7941715
1AIA,9135490
2ASF,18665270
125,10058404
1GVE,9136610
3ACA,1157910
ZBC,9270711
549,3243683
180,3047884
CAA,8040862
1CNE,495292
2HDK,18708036
3ZDE,9919152
ZOP,9920893
1AIC,4062768
240,18658796
ZOP,24883329
1AIC,9139247
ZBC,19256702
3AFH,1201456
178,10590816
1ZBC,9328236
157,5271899
2AVG,3240120
148,7930542
2APC,18664821
2ZBC,19104117
549,19438213
549,18660310
ZHK,18680756
125,25662701
3ABH,4042660
601,9181670
3AFH,9889886
5ZSE,9324940
ZOP,8477198
M16,10583855
102,1387852
2AFX,3238032
174,24570222
365,18782383
516,3480141
N21,10072964
2CPO,18656546
3BST,20205315
168,10050530
2BTK,18885785
212,3579170
2SCS,2965722
2AHP,3236512
125,10070870
359,5254688
ZHK,8420917
2SAF,3464717
136,7968712
201,10068123
548,1406766
2AHD,9211910
1AHK,9199377
2AVG,3236270
ZOP,10127585
3AFH,1189282
3BSR,18951131
1AHC,9213339
ZDE,16736432
3GME,NULL
CAA,9421417
3AFH,9938937
3AFH,9935605
3ACD,9847512
CAA,25184956
101,24581617
3BSH,20155198
ZOP,24726916
2AVG,4077456
175,7964354
2AVG,18887681
3AFH,9937314
2BJB,4180822
ZBC,19412534
M73,19544435
3ACR,1189864
103,10050325
2SJW,18987141
2SEE,3465664
2AFU,3239877
3BJL,9913545
CAA,2340480
3BSN,9904729
174,24571616
524,9861280
168,10068446
ZOP,9324398
1AIA,20237600
ZOP,10121259
ZHK,14416412
2GFH,18688199
102,25461379
2AEB,18888786
327,10093797
ZOP,9923120
N21,10073024
1AHK,9209968
ZOP,9919728
2ZOP,19141393
ZOP,24883392
3AUJ,1160761
548,1406829
128,24564739
M16,24710910
294,24505643
130,24526191
554,25857071
106,22783427
1AHC,496336
ZOP,24686295
1DJN,9183306
1GVE,9124499
3ZOP,9925186
ZOP,10125315
2BSH,18750737
