Funder,SubFunder,SubFunder.Sum,SubFunder.Detail
Defense,Navy,Defense within Scope,Navy
Defense,Air Force,Defense within Scope,Air Force
Defense,Army,Defense within Scope,Army
Defense,Other DoD,Defense within Scope,DLA and Other DoD
Defense,DLA,Defense within Scope,DLA and Other DoD
Defense,Uncategorized,Defense within Scope,DLA and Other DoD
Defense,State,ERROR,ERROR
DHS,COAST GUARD,COAST GUARD,COAST GUARD
DHS,OPO,OPO,OPO and Other DHS
DHS,FEMA,FEMA,FEMA
DHS,Other DHS,Other DHS,OPO and Other DHS
DHS,CBP,CBP,CBP
DHS,Uncategorized,Uncategorized,OPO and Other DHS
DHS,ICE,ICE,ICE
DHS,TSA,TSA,TSA
Energy,Energy,Energy,Energy
Energy,Uncategorized,Uncategorized,Uncategorized
GSA,GSA,GSA,GSA
HHS,HHS,HHS,HHS
HHS,Uncategorized,Uncategorized,Uncategorized
NASA,NASA,NASA,NASA
NASA,Uncategorized,Uncategorized,Uncategorized
NULL,Uncategorized,Uncategorized,Uncategorized
Other Agencies,Interior,Interior,Interior
Other Agencies,Transportation,Transportation,Transportation
Other Agencies,All other Customers,All other Customers,All other Customers
Other Agencies,Labor,Labor,Labor
Other Agencies,Treasury,Treasury,Treasury
Other Agencies,Agriculture,Agriculture,Agriculture
Other Agencies,NATIONAL SCIENCE FOUNDATION,NATIONAL SCIENCE FOUNDATION,NATIONAL SCIENCE FOUNDATION
Other Agencies,SMALL BUSINESS ADMINISTRATION,SMALL BUSINESS ADMINISTRATION,SMALL BUSINESS ADMINISTRATION
Other Agencies,Justice,Justice,Justice
Other Agencies,Commerce,Commerce,Commerce
Other Agencies,VA,VA,VA
Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION
Other Agencies,EPA,EPA,EPA
Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT
Other Agencies,FEDERAL TRADE COMMISSION,FEDERAL TRADE COMMISSION,FEDERAL TRADE COMMISSION
Other Agencies,HUD,HUD,HUD
Other Agencies,NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION
Other Agencies,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,COURT SERVICES AND OFFENDER SUPERVISION AGENCY
Other Agencies,Exec Office,Exec Office,Exec Office
Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,CONSUMER PRODUCT SAFETY COMMISSION,CONSUMER PRODUCT SAFETY COMMISSION
Other Agencies,INTERNATIONAL TRADE COMMISSION,INTERNATIONAL TRADE COMMISSION,INTERNATIONAL TRADE COMMISSION
Other Agencies,Education,Education,Education
Other Agencies,RAILROAD RETIREMENT BOARD,RAILROAD RETIREMENT BOARD,RAILROAD RETIREMENT BOARD
Other Agencies,SECURITIES AND EXCHANGE COMMISSION,SECURITIES AND EXCHANGE COMMISSION,SECURITIES AND EXCHANGE COMMISSION
Other Agencies,NATIONAL ENDOWMENT FOR THE ARTS,NATIONAL ENDOWMENT FOR THE ARTS,NATIONAL ENDOWMENT FOR THE ARTS
Other Agencies,COMMODITY FUTURES TRADING COMMISSION,COMMODITY FUTURES TRADING COMMISSION,COMMODITY FUTURES TRADING COMMISSION
Other Agencies,NATIONAL LABOR RELATIONS BOARD,NATIONAL LABOR RELATIONS BOARD,NATIONAL LABOR RELATIONS BOARD
Other Agencies,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS
Other Agencies,FEDERAL MARITIME COMMISSION,FEDERAL MARITIME COMMISSION,FEDERAL MARITIME COMMISSION
Other Agencies,SELECTIVE SERVICE SYSTEM,SELECTIVE SERVICE SYSTEM,SELECTIVE SERVICE SYSTEM
Other Agencies,Archives,Archives,Archives
Other Agencies,SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION
Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,NATIONAL TRANSPORTATION SAFETY BOARD,NATIONAL TRANSPORTATION SAFETY BOARD
Other Agencies,FEDERAL ELECTION COMMISSION,FEDERAL ELECTION COMMISSION,FEDERAL ELECTION COMMISSION
Other Agencies,Library,Library,Library
Other Agencies,FEDERAL HOUSING FINANCE BOARD,FEDERAL HOUSING FINANCE BOARD,FEDERAL HOUSING FINANCE BOARD
Other Agencies,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND O,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND O,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND O
Other Agencies,ELECTION ASSISTANCE COMMISSION,ELECTION ASSISTANCE COMMISSION,ELECTION ASSISTANCE COMMISSION
Other Agencies,NATIONAL CAPITAL PLANNING COMMISSION,NATIONAL CAPITAL PLANNING COMMISSION,NATIONAL CAPITAL PLANNING COMMISSION
Other Agencies,FEDERAL LABOR RELATIONS AUTHORITY,FEDERAL LABOR RELATIONS AUTHORITY,FEDERAL LABOR RELATIONS AUTHORITY
Other Agencies,MERIT SYSTEMS PROTECTION BOARD,MERIT SYSTEMS PROTECTION BOARD,MERIT SYSTEMS PROTECTION BOARD
Other Agencies,FEDERAL HOUSING FINANCE AGENCY,FEDERAL HOUSING FINANCE AGENCY,FEDERAL HOUSING FINANCE AGENCY
Other Agencies,BROADCASTING BOARD OF GOVERNORS,BROADCASTING BOARD OF GOVERNORS,BROADCASTING BOARD OF GOVERNORS
Other Agencies,OFFICE OF SPECIAL COUNSEL,OFFICE OF SPECIAL COUNSEL,OFFICE OF SPECIAL COUNSEL
Other Agencies,NATIONAL ENDOWMENT FOR THE HUMANITIES,NATIONAL ENDOWMENT FOR THE HUMANITIES,NATIONAL ENDOWMENT FOR THE HUMANITIES
Other Agencies,NATIONAL MEDIATION BOARD,NATIONAL MEDIATION BOARD,NATIONAL MEDIATION BOARD
Other Agencies,Comptroller,Comptroller,Comptroller
Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE
Other Agencies,NATIONAL GALLERY OF ART,NATIONAL GALLERY OF ART,NATIONAL GALLERY OF ART
Other Agencies,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD
Other Agencies,COMMISSION ON CIVIL RIGHTS,COMMISSION ON CIVIL RIGHTS,COMMISSION ON CIVIL RIGHTS
Other Agencies,Supreme Court,Supreme Court,Supreme Court
Other Agencies,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES
Other Agencies,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION
Other Agencies,Uncategorized,Uncategorized,Uncategorized
Other Agencies,GSA,GSA,GSA
Other Agencies,State,State,State
State and IAP,USAID,USAID,USAID
State and IAP,State,State,State
State and IAP,PEACE CORPS,PEACE CORPS,PEACE CORPS
