Extent.Competed,Extent.Competed.Sum
FULL AND OPEN COMPETITION,Competed
FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,Competed
NOT COMPETED,Uncompeted
FOLLOW ON TO COMPETED ACTION,Uncompeted
NOT AVAILABLE FOR COMPETITION,Uncompeted
COMPETED UNDER SAP,Competed
NOT COMPETED UNDER SAP,Uncompeted
NON-COMPETITIVE DELIVERY ORDER,Uncompeted
COMPETITIVE DELIVERY ORDER,Uncompeted
,Unlabeled
