Arms Type,Arms Summary,Arms Data Type
Aircraft,Aircraft,Detail
Armoured vehicles,Armoured Vehicles and Artillery,Detail
Artillery,Armoured Vehicles and Artillery,Detail
Ships,Ships,Detail
Total,Total,Total
Air defence systems,"Missiles, Air Defense, and ASW",Detail
Engines,Engines,Detail
Missiles,"Missiles, Air Defense, and ASW",Detail
Sensors,Sensors,Detail
Other,Other,Detail
ASW weapons,"Missiles, Air Defense, and ASW",Detail
