Country,Destination.Country,ISR_Region,Region,ROK_Region,Tier,Country.Proper,USAorRestOfWorld,Europe Region Block,Europe Region Alignment
Algeria,Algeria,Africa,Africa,Other,,Algeria,RestOfWorld,,
Angola,Angola,Africa,Africa,Other,,Angola,RestOfWorld,,
Benin,Benin,Africa,Africa,Other,,Benin,RestOfWorld,,
Biafra,Biafra,Africa,Africa,Other,,Biafra,RestOfWorld,,
Botswana,Botswana,Africa,Africa,Other,,Botswana,RestOfWorld,,
Burkina Faso,Burkina Faso,Africa,Africa,Other,,Burkina Faso,RestOfWorld,,
Cameroon,Cameroon,Africa,Africa,Other,,Cameroon,RestOfWorld,,
Central African Republic,Central African Republic,Africa,Africa,Other,,Central African Republic,RestOfWorld,,
Chad,Chad,Africa,Africa,Other,,Chad,RestOfWorld,,
Congo,Congo,Africa,Africa,Other,,Congo,RestOfWorld,,
Cote d'Ivoire,Cote d'Ivoire,Africa,Africa,Other,,Cote d'Ivoire,RestOfWorld,,
Djibouti,Djibouti,Africa,Africa,Other,,Djibouti,RestOfWorld,,
DRC (Zaire),DRC (Zaire),Africa,Africa,Other,,DRC (Zaire),RestOfWorld,,
Equatorial Guinea,Equatorial Guinea,Africa,Africa,Other,,Equatorial Guinea,RestOfWorld,,
Eritrea,Eritrea,Africa,Africa,Other,,Eritrea,RestOfWorld,,
Ethiopia,Ethiopia,Africa,Africa,Other,,Ethiopia,RestOfWorld,,
Gabon,Gabon,Africa,Africa,Other,,Gabon,RestOfWorld,,
Ghana,Ghana,Africa,Africa,Other,,Ghana,RestOfWorld,,
Guinea,Guinea,Africa,Africa,Other,,Guinea,RestOfWorld,,
Kenya,Kenya,Africa,Africa,Other,,Kenya,RestOfWorld,,
Lesotho,Lesotho,Africa,Africa,Other,,Lesotho,RestOfWorld,,
Liberia,Liberia,Africa,Africa,Other,,Liberia,RestOfWorld,,
Madagascar,Madagascar,Africa,Africa,Other,,Madagascar,RestOfWorld,,
Malawi,Malawi,Africa,Africa,Other,,Malawi,RestOfWorld,,
Mali,Mali,Africa,Africa,Other,,Mali,RestOfWorld,,
Mauritania,Mauritania,Africa,Africa,Other,,Mauritania,RestOfWorld,,
Mauritius,Mauritius,Africa,Africa,Other,,Mauritius,RestOfWorld,,
Morocco,Morocco,Africa,Africa,Other,,Morocco,RestOfWorld,,
Namibia,Namibia,Africa,Africa,Other,,Namibia,RestOfWorld,,
Niger,Niger,Africa,Africa,Other,,Niger,RestOfWorld,,
Nigeria,Nigeria,Africa,Africa,Other,,Nigeria,RestOfWorld,,
Rwanda,Rwanda,Africa,Africa,Other,,Rwanda,RestOfWorld,,
Senegal,Senegal,Africa,Africa,Other,,Senegal,RestOfWorld,,
Seychelles,Seychelles,Africa,Africa,Other,,Seychelles,RestOfWorld,,
Sierra Leone,Sierra Leone,Africa,Africa,Other,,Sierra Leone,RestOfWorld,,
Somalia,Somalia,Africa,Africa,Other,,Somalia,RestOfWorld,,
South Africa,South Africa,Africa,Africa,Other,,South Africa,RestOfWorld,,
Sudan,Sudan,Africa,Africa,Other,,Sudan,RestOfWorld,,
Swaziland,Swaziland,Africa,Africa,Other,,Swaziland,RestOfWorld,,
Tanzania,Tanzania,Africa,Africa,Other,,Tanzania,RestOfWorld,,
Togo,Togo,Africa,Africa,Other,,Togo,RestOfWorld,,
Uganda,Uganda,Africa,Africa,Other,,Uganda,RestOfWorld,,
Zimbabwe,Zimbabwe,Africa,Africa,Other,,Zimbabwe,RestOfWorld,,
Afghanistan,Afghanistan,Asia,Asia,Asia (Other),,Afghanistan,RestOfWorld,,
Australia,Australia,Asia,Asia,Asia (Other),,Australia,RestOfWorld,,
Bangladesh,Bangladesh,Asia,Asia,Asia (Other),,Bangladesh,RestOfWorld,,
Brunei,Brunei,Asia,Asia,Asia (Other),,Brunei,RestOfWorld,,
Cambodia,Cambodia,Asia,Asia,Asia (Other),,Cambodia,RestOfWorld,,
China,China,Asia,Asia,Asia (Other),,China,RestOfWorld,,
Fiji,Fiji,Asia,Asia,Asia (Other),,Fiji,RestOfWorld,,
India,India,Asia,Asia,Asia (Other),,India,RestOfWorld,,
Indonesia,Indonesia,Asia,Asia,Indonesia,,Indonesia,RestOfWorld,,
Japan,Japan,Asia,Asia,Asia (Other),,Japan,RestOfWorld,,
Kazakhstan,Kazakhstan,Asia,Asia,Asia (Other),,Kazakhstan,RestOfWorld,,
Laos,Laos,Asia,Asia,Asia (Other),,Laos,RestOfWorld,,
Malaysia,Malaysia,Asia,Asia,Asia (Other),,Malaysia,RestOfWorld,,
Marshall Islands,Marshall Islands,Asia,Asia,Asia (Other),,Marshall Islands,RestOfWorld,,
Micronesia,Micronesia,Asia,Asia,Asia (Other),,Micronesia,RestOfWorld,,
Myanmar,Myanmar,Asia,Asia,Asia (Other),,Myanmar,RestOfWorld,,
Nepal,Nepal,Asia,Asia,Asia (Other),,Nepal,RestOfWorld,,
New Zealand,New Zealand,Asia,Asia,Asia (Other),,New Zealand,RestOfWorld,,
North Korea,North Korea,Asia,Asia,Asia (Other),,North Korea,RestOfWorld,,
Pakistan,Pakistan,Asia,Asia,Asia (Other),,Pakistan,RestOfWorld,,
Palau,Palau,Asia,Asia,Asia (Other),,Palau,RestOfWorld,,
Papua New Guinea,Papua New Guinea,Asia,Asia,Asia (Other),,Papua New Guinea,RestOfWorld,,
Philippines,Philippines,Asia,Asia,Asia (Other),,Philippines,RestOfWorld,,
Singapore,Singapore,Asia,Asia,Asia (Other),,Singapore,RestOfWorld,,
South Korea,South Korea,Asia,Asia,Asia (Other),,South Korea,RestOfWorld,,
South Vietnam,South Vietnam,Asia,Asia,Asia (Other),,South Vietnam,RestOfWorld,,
Sri Lanka,Sri Lanka,Asia,Asia,Asia (Other),,Sri Lanka,RestOfWorld,,
Taiwan,Taiwan,Asia,Asia,Asia (Other),,Taiwan,RestOfWorld,,
Thailand,Thailand,Asia,Asia,Asia (Other),,Thailand,RestOfWorld,,
Tonga,Tonga,Asia,Asia,Asia (Other),,Tonga,RestOfWorld,,
Viet Nam,Viet Nam,Asia,Asia,Asia (Other),,Viet Nam,RestOfWorld,,
Albania,Albania,Europe (All Other),Europe & Russia,Europe & Russia (Other),Second Tier,Albania,RestOfWorld,Other Central and Eastern Europe,Non-Aligned Eastern Europe
Austria,Austria,Europe (All Other),Europe & Russia,Europe & Russia (Other),Second Tier,Austria,RestOfWorld,Other Western Europe,Western Europe
Belgium,Belgium,Europe (All Other),Europe & Russia,Europe & Russia (Other),First Tier,Belgium,RestOfWorld,Other Western Europe,Western Europe
Bosnia & Herzegovina,Bosnia-Herzegovina,Europe (All Other),Europe & Russia,Europe & Russia (Other),Second Tier,Bos. & Herz.,RestOfWorld,Other Central and Eastern Europe,Non-Aligned Eastern Europe
Bulgaria,Bulgaria,Europe (All Other),Europe & Russia,Europe & Russia (Other),Second Tier,Bulgaria,RestOfWorld,Other Central and Eastern Europe,Eastern Europe
Croatia,Croatia,Europe (All Other),Europe & Russia,Europe & Russia (Other),Second Tier,Croatia,RestOfWorld,Other Central and Eastern Europe,Non-Aligned Eastern Europe
Cyprus,Cyprus,Europe (All Other),Europe & Russia,Europe & Russia (Other),Second Tier,Cyprus,RestOfWorld,Southern Europe,Southern Europe
Czech Republic,Czech Republic,Europe (All Other),Europe & Russia,Europe & Russia (Other),Second Tier,Czech Republic,RestOfWorld,Visegrad Four,Eastern Europe
Denmark,Denmark,Europe (All Other),Europe & Russia,Europe & Russia (Other),Second Tier,Denmark,RestOfWorld,Northern Europe,Northern Europe
