CSISofficeName	CSISofficeName.PBL
AAC/PKO  OPERATIONAL CONTRACTING	AAC/PKO  OPERATIONAL CONTRACTING
AAC/PKR	AAC/PKR
AAC/PKZ	AAC/PKZ
AAC/WMK	AAC/WMK
AAC/YAK	AAC/YAK
AAC/YHK	AAC/YHK
AAC/YUK	AAC/YUK
AAC/YVK	AAC/YVK
"ACA, 5TH SIGNAL COMMAND"	"ACA, 5TH SIGNAL COMMAND"
"ACA, ABERDEEN PROVING GROUND"	"ACA, ABERDEEN PROVING GROUND"
"ACA, ARMY BASEOPS SUPPORT ACTIVI"	"ACA, ARMY BASEOPS SUPPORT ACTIVI"
"ACA, DUGWAY PROVING GROUND"	"ACA, DUGWAY PROVING GROUND"
"ACA, FORT BENNING"	"ACA, FORT BENNING"
"ACA, FORT BLISS"	"ACA, FORT BLISS"
"ACA, FORT BRAGG"	"ACA, FORT BRAGG"
"ACA, FORT CAMPBELL"	"ACA, FORT CAMPBELL"
"ACA, FORT CARSON"	"ACA, FORT CARSON"
"ACA, FORT DIX"	"ACA, FORT DIX"
"ACA, FORT DRUM"	"ACA, FORT DRUM"
"ACA, FORT GORDON"	"ACA, FORT GORDON"
"ACA, FORT HOOD"	"ACA, FORT HOOD"
"ACA, FORT HUACHUCA"	"ACA, FORT HUACHUCA"
"ACA, FORT IRWIN"	"ACA, FORT IRWIN"
"ACA, FORT JACKSON"	"ACA, FORT JACKSON"
"ACA, FORT KNOX"	"ACA, FORT KNOX"
"ACA, FORT LEWIS"	"ACA, FORT LEWIS"
"ACA, FORT MCCOY"	"ACA, FORT MCCOY"
"ACA, FORT POLK"	"ACA, FORT POLK"
"ACA, FORT RICHARDSON"	"ACA, FORT RICHARDSON"
"ACA, FORT RILEY"	"ACA, FORT RILEY"
"ACA, FORT RUCKER"	"ACA, FORT RUCKER"
"ACA, FORT SAM HOUSTON"	"ACA, FORT SAM HOUSTON"
"ACA, FORT SHAFTER"	"ACA, FORT SHAFTER"
"ACA, FORT SILL"	"ACA, FORT SILL"
"ACA, FORT STEWART"	"ACA, FORT STEWART"
"ACA, ITEC4"	"ACA, ITEC4"
"ACA, N. REGION CONTRACTING CENTE"	"ACA, N. REGION CONTRACTING CENTE"
"ACA, NATICK"	"ACA, NATICK"
"ACA, OPARC"	"ACA, OPARC"
"ACA, PRESIDIO OF MONTEREY"	"ACA, PRESIDIO OF MONTEREY"
"ACA, SOUTH REGION CONTRACTING CT"	"ACA, SOUTH REGION CONTRACTING CT"
"ACA, U.S. MILITARY ACADEMY"	"ACA, U.S. MILITARY ACADEMY"
"ACA, WHITE SANDS MISSILE RANGE"	"ACA, WHITE SANDS MISSILE RANGE"
"ACA, YUMA PROVING GROUND"	"ACA, YUMA PROVING GROUND"
AEDC/PK  ENGINEERING DEVELOPMENT	AEDC/PK  ENGINEERING DEVELOPMENT
AEDC/PKM OPER CONTRACT DIVISION	AEDC/PKM OPER CONTRACT DIVISION
AEDC/PKP ENGINEERING DEVELOPMENT	AEDC/PKP ENGINEERING DEVELOPMENT
AEDC/PKP R&D CONTRACTS	AEDC/PKP R&D CONTRACTS
AETC CONS/CC	AETC CONS/CC
AFFTC/PKB  R & D CONTRACTING DIV	AFFTC/PKB  R & D CONTRACTING DIV
AFFTC/PKRA R&D CONTRACTS FTC	AFFTC/PKRA R&D CONTRACTS FTC
AFLOAT MEDIA SYSTEMS	AFLOAT MEDIA SYSTEMS
AFPRO BOWING MILITARY AIRPLAINESP.O. BOX 773	AFPRO BOWING MILITARY AIRPLAINESP.O. BOX 773
AFRL/IFK	AFRL/IFK
AFRL/IFKO	AFRL/IFKO
AFRL/IFKRD	AFRL/IFKRD
AFRL/IFKRE	AFRL/IFKRE
AFRL/IFKRF	AFRL/IFKRF
AFRL/IFQPB	AFRL/IFQPB
AFRL/MLKH HUMAN EFFECTIVENESS BR	AFRL/MLKH HUMAN EFFECTIVENESS BR
AFRL/MLKM METALS CONTRACTING BRN	AFRL/MLKM METALS CONTRACTING BRN
AFRL/MLKN NONMETALS CONTRACTING	AFRL/MLKN NONMETALS CONTRACTING
AFRL/MLKT MANUFACTURING TECH	AFRL/MLKT MANUFACTURING TECH
AFRL/MNK	AFRL/MNK
AFRL/PK	AFRL/PK
AFRL/PKD DET 1	AFRL/PKD DET 1
AFRL/PKDA DET 1	AFRL/PKDA DET 1
AFRL/PKDB DET 1	AFRL/PKDB DET 1
AFRL/PKNA DET 1	AFRL/PKNA DET 1
AFRL/PRKA AEROSPACE POWER FUELS	AFRL/PRKA AEROSPACE POWER FUELS
AFRL/PRKB  ADVANCED PROPULSION	AFRL/PRKB  ADVANCED PROPULSION
AFRL/PRKC	AFRL/PRKC
AFRL/SNKD INFORMATION/SENSOR APP	AFRL/SNKD INFORMATION/SENSOR APP
AFRL/SNKE AEROSPACE COMPONENTS	AFRL/SNKE AEROSPACE COMPONENTS
AFRL/SNKR ATR/RF SENSORS BRANCH	AFRL/SNKR ATR/RF SENSORS BRANCH
AFRL/VAK AIR VEHICLES CONTRACTNG	AFRL/VAK AIR VEHICLES CONTRACTNG
AFSAC/PK	AFSAC/PK
AGMC/PK	AGMC/PK
AIRBORNE COMMAND AND CONTROL	AIRBORNE COMMAND AND CONTROL
AMC/CONF/LGC	AMC/CONF/LGC
AMPHIBIOUS CONSTRUCTION BATTALIO	AMPHIBIOUS CONSTRUCTION BATTALIO
AMPHIBIOUS GROUP 2	AMPHIBIOUS GROUP 2
ANTILLES CONSOLIDATED SCHOOL SYS	ANTILLES CONSOLIDATED SCHOOL SYS
ARCENT CONTRACTING OFFICE	ARCENT CONTRACTING OFFICE
ARCO VINCENZA	ARCO VINCENZA
ARMY ATLANTA CONTRACTING CENTER	ARMY ATLANTA CONTRACTING CENTER
ASC/AEKA	ASC/AEKA
ASC/CDSK	ASC/CDSK
ASC/DET 1	ASC/DET 1
ASC/EMK	ASC/EMK
ASC/FBH	ASC/FBH
ASC/FBK	ASC/FBK
ASC/GR	ASC/GR
"ASC/JLSC   BLDG 15, RM 133-B"	"ASC/JLSC   BLDG 15, RM 133-B"
ASC/LPK  BLDG 28 ROOM 207	ASC/LPK  BLDG 28 ROOM 207
ASC/LYTDK	ASC/LYTDK
ASC/OL-VXK	ASC/OL-VXK
ASC/OL-YGK	ASC/OL-YGK
ASC/OL-YHK	ASC/OL-YHK
ASC/OL-YMK	ASC/OL-YMK
ASC/OL-YUK	ASC/OL-YUK
ASC/PK	ASC/PK
ASC/PK AERONAUTICAL SYSTEMS CTR	ASC/PK AERONAUTICAL SYSTEMS CTR
ASC/PKG	ASC/PKG
ASC/PKHF	ASC/PKHF
ASC/PKN	ASC/PKN
ASC/PKW	ASC/PKW
ASC/PKWO	ASC/PKWO
ASC/PKWR	ASC/PKWR
ASC/PKWT	ASC/PKWT
ASC/RWKR	ASC/RWKR
ASC/SDBK	ASC/SDBK
ASC/SMKA	ASC/SMKA
ASC/SMKN	ASC/SMKN
ASC/TMK	ASC/TMK
ASC/VCK	ASC/VCK
ASC/VFK	ASC/VFK
ASC/VXK	ASC/VXK
ASC/YCK	ASC/YCK
ASC/YFK	ASC/YFK
ASC/YPK	ASC/YPK
ASC/YSK	ASC/YSK
ASC/YTK	ASC/YTK
ASC/YWK	ASC/YWK
ASIA-PACIFIC CENTER FOR SECURITY	ASIA-PACIFIC CENTER FOR SECURITY
ATLANTIC FLEET HEADQUARTERS SUPP	ATLANTIC FLEET HEADQUARTERS SUPP
ATLANTIC FLEET WEAPONS TRAINING	ATLANTIC FLEET WEAPONS TRAINING
AVIATION APPLIED TECHNOLOGY	AVIATION APPLIED TECHNOLOGY
BEACHMASTER UNIT 2	BEACHMASTER UNIT 2
BEACHMASTER UNIT TWO	BEACHMASTER UNIT TWO
BLUE GRASS ARMY DEPOT PROCUREMEN	BLUE GRASS ARMY DEPOT PROCUREMEN
BUREAU OF MEDICINE AND SURGERY	BUREAU OF MEDICINE AND SURGERY
CAMP LEMONIER DJIBOUTI	CAMP LEMONIER DJIBOUTI
CAPITOL CONTRACTING CENTER	CAPITOL CONTRACTING CENTER
CARLISLE BARRACKS	CARLISLE BARRACKS
CARRIER AIRBORNE EARLY WARNING	CARRIER AIRBORNE EARLY WARNING
