PlatformPortfolio,PlatformPortfolio.sum,Platform.page
Aircraft and Drones,Aircraft and Drones,Major Weapons
Ships & Submarines,Ships & Submarines,Major Weapons
Land Vehicles,Land Vehicles,Major Weapons
Missile and Space Systems,Missile and Space Systems,Major Weapons
Weapons and Ammunition,Weapons and Ammunition,Major Weapons
Other Products,Other Products,Other Systems
Electronics and Communications,Electronics and Communications,Other Systems
Facilities and Construction,Facilities and Construction,Other Systems
Other Services,Other Services,Other Systems
Other R&D and Knowledge Based,Other R&D and Knowledge Based,Other Systems
Unlabeled,Unlabeled,Other Systems
Aircraft,Aircraft and Drones,Major Weapons
Unmanned,Aircraft and Drones,Major Weapons
