SumOfobligatedAmount,Action.Obligation
SingleYearObligatedAmount,Contract.Size
SizeOfSumOfObligatedAmount,Contract.Size
Base.and.All.Options.Value,ContractBaseAndAllOptionsValue
Sumofbaseandalloptionsvalue,ContractBaseAndAllOptionsValue
SumOfbaseandexercisedoptionsvalue,ContractBaseAndExercisedOptionsValue
ContractingAgencyID,Contracting.Agency.ID
SumOfContractObligatedAmount,ContractObligatedAmount
ParentOrPartnerName,ContractorDisplayName
customer,Customer
DEPLOYMENT,Deployment
fiscal.year,Fiscal.Year
Fiscal_Year,Fiscal.Year
SumofGBKdisbursements,GBKdisbursements
SumofGBKObligations,GBKObligations
Majorcommandid,MajorCommandID
SumofOutlayNoOffsetAccount,OutlayNoOffsetAccount
SumofOutlay,OutlayOffsetAccount
SumofOutlayOffsetAccount,OutlayOffsetAccount
PoPStateCode,PoPstateCode
StateCode,PoPstateCode
FundingMechanismClassification,Pricing.Mechanism
TypeofContractPricingtext,Pricing.Mechanism
TypeOfContractPricing,Pricing.Mechanism.Code
ProductorServiceArea,ProductOrServiceArea
ProductsCategory,ProductOrServiceArea
ServiceCategory,ProductOrServiceArea
Services.Category,ProductOrServiceArea
ServicesCategory,ProductOrServiceArea
Simple,ProductOrServiceArea
simplearea,SimpleArea
Statecode,StateCode
Sub_Customer,SubCustomer
SubCustomerSum,SubCustomer
SumOfUnmodifiedbaseandalloptionsvalue,UnmodifiedContractBaseAndAllOptionsValue
SumOfUnmodifiedbaseandexercisedoptionsvalue,UnmodifiedContractBaseAndExercisedOptionsValue
SumOfUnmodifiedobligatedAmount,UnmodifiedContractObligatedAmount
VehicleClassification,Vehicle
Size,Vendor.Size
VendorSize,Vendor.Size
AnnualSimpleBucketVendorRank,VendorRank
AnnualSubCustomerVendorRank,VendorRank
ContractAnnualCustomerVendorRank,VendorRank
