Fair.Opportunity/Limited.Sources,Fair.Competed
ONLY ONE SOURCE - OTHER ,Uncompeted
URGENCY ,Uncompeted
FAIR OPPORTUNITY GIVEN,Competed
FOLLOW-ON ACTION FOLLOWING COMPETITIVE INITIAL ACTION,Uncompeted
MINIMUM GUARANTEE ,Uncompeted
OTHER STATUTORY AUTHORITY,Uncompeted
,Unlabeled
