"Col1","Col2","Col3","Col4","Col5","Col6","Remove","OverrideSection","Platform","Source","Section"
"Fire Unit",NA,NA,NA,NA,NA,"TRUE","FireUnit","MEADS","2013-12","FireUnit"
NA,NA,"BY2004 $M",NA,"TY $M",NA,"TRUE",NA,"MEADS","2013-12","FireUnit"
NA,"Date","PAUC","APUC","PAUC","APUC","TRUE",NA,"MEADS","2013-12","FireUnit"
"Original APB","2004-08-01","344.385","249.981","454.988","345.508",NA,NA,"MEADS","2013-12","FireUnit"
"APB as of January 2006","2004-08-01","344.385","249.981","454.988","345.508",NA,NA,"MEADS","2013-12","FireUnit"
"Revised Original APB","N/A","N/A","N/A","N/A","N/A",NA,NA,"MEADS","2013-12","FireUnit"
"Prior APB","N/A","N/A","N/A","N/A","N/A",NA,NA,"MEADS","2013-12","FireUnit"
"Current APB","2004-08-01","344.385","249.981","454.988","345.508",NA,NA,"MEADS","2013-12","FireUnit"
"Prior Annual SAR","2012-12-01","N/A","N/A","N/A","N/A",NA,NA,"MEADS","2013-12","FireUnit"
"Current Estimate","2013-12-01","N/A","N/A","N/A","N/A",NA,NA,"MEADS","2013-12","FireUnit"
