"Description","RDTnE","Proc","MILCON","Total","NA.2","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","460.9","5760","--","6220.9",NA,"Base Year 2004 $M","MEADS","2013-12","Missile",NA
"Economic","--","--","--","--",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Previous Changes"
"Quantity","--","--","--","--","d","Base Year 2004 $M","MEADS","2013-12","Missile","Previous Changes"
"Schedule","--","48.6","--","48.6",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Previous Changes"
"Engineering","--","--","--","--",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Previous Changes"
"Estimating","240.1","302.9","--","543",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Previous Changes"
"Other","--","--","--","--",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Previous Changes"
"Support","--","-24.6","--","-24.6",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Previous Changes"
"Subtotal","240.1","326.9","--","567",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Previous Changes"
"Economic","--","--","--","--",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
"Quantity","--","--","--","--",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
"Schedule","--","-208.2","--","-208.2",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
"Engineering","--","--","--","--",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
"Estimating","0.9","1.3","--","2.2",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
"Other","--","--","--","--",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
"Support","--","28.6","--","28.6",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
"Subtotal","0.9","-178.3","--","-177.4",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
"Total Changes","241","148.6","--","389.6",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
"CE - Cost Variance","701.9","5908.6","--","6610.5",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
"CE - Cost & Funding","701.9","5908.6","--","6610.5",NA,"Base Year 2004 $M","MEADS","2013-12","Missile","Current Changes"
