"Quantity","SARbaselineDevelopmentEstimate","CurrentAPBdevelopment","CurrentEstimate","Platform","Source","Section"
"RDT&E ","0","0","0","MEADS","2011-12","Missile"
"Procurement ","1528","1528","1528","MEADS","2011-12","Missile"
"Total","1528","1528","1528","MEADS","2011-12","Missile"
