"BaselineItemEvent","PlanningEstimate","DevelopmentEstimate","ProductionEstimate","CurrentEstimate","Platform","Source","Section"
"Milestone A","N/A","N/A","N/A","N/A","MEADS","2011-12","Missile"
"Milestone B","N/A","N/A","N/A","N/A","MEADS","2011-12","Missile"
"Milestone C","N/A","N/A","N/A","N/A","MEADS","2011-12","Missile"
"FUE","N/A","2011-03-01 00:00:00","N/A","2015-09-01 00:00:00","MEADS","2011-12","Missile"
"Total Cost (TY $M)","N/A","8056","N/A","9775.1","MEADS","2011-12","Missile"
"Total Quantity","N/A","1528","N/A","1528","MEADS","2011-12","Missile"
"Prog. Acq. Unit Cost (PAUC) ","N/A","5.272","N/A","6.397","MEADS","2011-12","Missile"
