"Milestones","SARbaselineDevEst","CurrentAPBobjective","CurrentAPBthreshold","CurrentEstimate","Platform","Section","Source","Increment"
"MSU First Intercept","2008-06-01","2008-06-01","2009-06-01","2010-02-01","MEADS","Missile","2012","Acquisition Increment 2"
"MSU FUE","2011-03-01","2011-03-01","2012-03-01","2015-09-01","MEADS","Missile","2012","Acquisition Increment 2"
"APB Breach",NA,NA,NA,NA,"MEADS","Missile","2012","Acquisition Increment 2"
