"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","5255","16584.4","--","21839.4","Then Year $M","MEADS","2011-12","FireUnit",NA
"Economic","103.4","-195.3","--","-91.9","Then Year $M","MEADS","2011-12","FireUnit","Previous Changes"
"Quantity","--","-12555.5","--","-12555.5","Then Year $M","MEADS","2011-12","FireUnit","Previous Changes"
"Schedule","--","-86.5","--","-86.5","Then Year $M","MEADS","2011-12","FireUnit","Previous Changes"
"Engineering","--","--","--","--","Then Year $M","MEADS","2011-12","FireUnit","Previous Changes"
"Estimating","-2151.6","-608.3","--","-2759.9","Then Year $M","MEADS","2011-12","FireUnit","Previous Changes"
"Other","--","--","--","--","Then Year $M","MEADS","2011-12","FireUnit","Previous Changes"
"Support","--","-3042.1","--","-3042.1","Then Year $M","MEADS","2011-12","FireUnit","Previous Changes"
"Subtotal","-2048.2","-16487.7","--","-18535.9","Then Year $M","MEADS","2011-12","FireUnit","Previous Changes"
"Economic","20.1","1.7","--","21.8","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
"Quantity","--","--","--","--","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
"Schedule","--","--","--","--","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
"Engineering","--","--","--","--","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
"Estimating","-49.8","-98.4","--","-148.2","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
"Other","--","--","--","--","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
"Support","--","--","--","--","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
"Subtotal","-29.7","-96.7","--","-126.4","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
"Total Changes","-2077.9","-16584.4","--","-18662.3","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
"CE - Cost Variance","3177.1","--","--","3177.1","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
"CE - Cost & Funding ","3178.1","--","--","3178.1","Then Year $M","MEADS","2011-12","FireUnit","Current Changes"
