"UCRhistory","Date","PAUC.2004mil","APUC.2004mil","PAUC.thenyear","APUC.thenyear","Platform","Source","Section"
"Original APB","2004-08-01 00:00:00","344.385","249.981","454.988","345.508","MEADS","2011-12","FireUnit"
"APB as of JAN 2006","2004-08-01 00:00:00","344.385","249.981","454.988","345.508","MEADS","2011-12","FireUnit"
"Revised Original APB","N/A","N/A","N/A","N/A","N/A","MEADS","2011-12","FireUnit"
"Prior APB","N/A","N/A","N/A","N/A","N/A","MEADS","2011-12","FireUnit"
"Current APB","2004-08-01 00:00:00","344.385","249.981","454.988","345.508","MEADS","2011-12","FireUnit"
"Prior Annual SAR","2010-12-01 00:00:00","N/A","N/A","N/A","N/A","MEADS","2011-12","FireUnit"
"Current Estimate ","2011-12-01 00:00:00","N/A","N/A","N/A","N/A","MEADS","2011-12","FireUnit"
