"Description","RDTnE","Proc","MILCON","Total","Subsection","Unit","Platform","Source","Section"
"SAR Baseline (Dev Est)","5255","16584.4","--","21839.4",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Previous Changes",NA,NA,NA,NA,"Previous Changes","Then Year $M","MEADS","2013-12","FireUnit"
"Economic","127.2","-193.6","--","-66.4",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Quantity","--","-25434.9","--","-12555.5",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Schedule","--","-86.5","--","-86.5",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Engineering","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Estimating","-2217.2","-706.7","--","-2923.8",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Other","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Support","--","-3042.1","--","-3042.1",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Subtotal","-2089.9","-16584.4","--","-18674.3",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Current Changes",NA,NA,NA,NA,"Current Changes","Then Year $M","MEADS","2013-12","FireUnit"
"Economic","-7","--","--","-7",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Quantity","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Schedule","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Engineering","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Estimating","-45.7","24106","--","-45.7",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Other","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Support","--","--","--","--",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Subtotal","-52.7","--","--","-52.7",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"Total Changes","-2142.6","-16584.4","--","-18727",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"CE - Cost Variance","3112.4","--","--","3112.4",NA,"Then Year $M","MEADS","2013-12","FireUnit"
"CE - Cost & Funding","3112.4","--","--","3112.4",NA,"Then Year $M","MEADS","2013-12","FireUnit"
