"UnitCostReport","UCRcurrentBaseline2004AugAPB.2004mil","CurrentEstimateDec2011.2004mil","pUCRchange","Subsection","Platform","Source","Section"
"Program Acquisition Unit Cost (PAUC)",NA,NA,NA,"Program Acquisition Unit Cost (PAUC)","MEADS","2011-12","FireUnit"
"Cost","16530.5","2758.8",NA,NA,"MEADS","2011-12","FireUnit"
"Quantity","48","0",NA,NA,"MEADS","2011-12","FireUnit"
"Unit Cost","344.385","--","--",NA,"MEADS","2011-12","FireUnit"
"Average Procurement Unit Cost (APUC)",NA,NA,NA,"Average Procurement Unit Cost (APUC)","MEADS","2011-12","FireUnit"
"Cost","11999.1","0",NA,NA,"MEADS","2011-12","FireUnit"
"Quantity","48","0",NA,NA,"MEADS","2011-12","FireUnit"
"Unit Cost","249.981","--","--",NA,"MEADS","2011-12","FireUnit"
