"UnitCostReport","UCRoriginalBaseline2004AugAPB.2004mil","CurrentEstimateDec2011.2004mil","pUCRchange","SubsectionName","SubsectionValue","Platform","Source","Section","UCmetric"
"Cost","6220.9","6869.6",NA,NA,NA,"MEADS","2011-12","Missile","Program Acquisition Unit Cost (PAUC)"
"Quantity","1528","1528",NA,NA,NA,"MEADS","2011-12","Missile","Program Acquisition Unit Cost (PAUC)"
"Unit Cost","4.071","4.496","10.44",NA,NA,"MEADS","2011-12","Missile","Program Acquisition Unit Cost (PAUC)"
"Average Procurement Unit Cost (APUC)",NA,NA,NA,"UCmetric","Average Procurement Unit Cost (APUC)","MEADS","2011-12","Missile","Average Procurement Unit Cost (APUC)"
"Cost","5760","6165.7",NA,NA,NA,"MEADS","2011-12","Missile","Average Procurement Unit Cost (APUC)"
"Quantity","1528","1528",NA,NA,NA,"MEADS","2011-12","Missile","Average Procurement Unit Cost (APUC)"
"Unit Cost","3.77","4.035","7.03",NA,NA,"MEADS","2011-12","Missile","Average Procurement Unit Cost (APUC)"
