"Appropriation","SARbaselineDevelopmentEstimate2004mil","CurrentAPBdevelopmentObjective2004mil","CurrentAPBdevelopmentThreshold2004mil","CurrentEstimate2004mil","SARbaselineDevelopmentEstimateThenYearMil","CurrentAPBdevelopmentObjectiveThenYearMil","CurrentEstimateThenYearMil","Platform","Source","Section"
"RDT&E","4992.3","4992.3","--","3410.7","5737","5737","3897.7","MEADS","2013-12","TotalProgram"
"Procurement","17759.1","17759.1","--","5908.6","24158.4","24158.4","8718.6","MEADS","2013-12","TotalProgram"
"Flyaway ","--","--","--","5397.5","--","--","7972.8","MEADS","2013-12","TotalProgram"
"Recurring","--","--","--","5329.1","--","--","7889.6","MEADS","2013-12","TotalProgram"
"Non Recurring","--","--","--","68.4","--","--","83.2","MEADS","2013-12","TotalProgram"
"Support","--","--","--","511.1","--","--","745.8","MEADS","2013-12","TotalProgram"
"Other Support","--","--","--","511.1","--","--","745.8","MEADS","2013-12","TotalProgram"
"Initial Spares","--","--","--","0","--","--","0","MEADS","2013-12","TotalProgram"
"MILCON","0","0","--","0","0","0","0","MEADS","2013-12","TotalProgram"
"Acq O&M","0","0","--","0","0","0","0","MEADS","2013-12","TotalProgram"
"Total","22751.4","22751.4","N/A","9319.3","29895.4","29895.4","12616.3","MEADS","2013-12","TotalProgram"
