"UCRhistory","Date","PAUC.2004mil","APUC.2004mil","PAUC.thenyear","APUC.thenyear","Platform","Source","Section"
"Original APB","2004-08-01","4.071","3.77","5.272","4.957","MEADS","2011-12","Missile"
"APB as of JAN 2006","2004-08-01","4.071","3.77","5.272","4.957","MEADS","2011-12","Missile"
"Revised Original APB","N/A","N/A","N/A","N/A","N/A","MEADS","2011-12","Missile"
"Prior APB","N/A","N/A","N/A","N/A","N/A","MEADS","2011-12","Missile"
"Current APB","2004-08-01","4.071","3.77","5.272","4.957","MEADS","2011-12","Missile"
"Prior Annual SAR","2010-12-01","4.435","4.005","6.06","5.583","MEADS","2011-12","Missile"
"Current Estimate ","2011-12-01","4.496","4.035","6.397","5.881","MEADS","2011-12","Missile"
