"Appropriation","SARbaselineDevelopmentEstimate2004mil","CurrentAPBdevelopmentObjective2004mil","CurrentAPBdevelopmentThreshold2004mil","CurrentEstimate2004mil","SARbaselineDevelopmentEstimateThenYearMil","CurrentAPBdevelopmentObjectiveThenYearMil","CurrentEstimateThenYearMil","Platform","Source","Section"
"RDT&E","4531.4","4531.4","5211.1","2708.8","5255","5255","3112.4","MEADS","2013-12","FireUnit"
"Procurement","11999.1","11999.1","13199","0","16584.4","16584.4","0","MEADS","2013-12","FireUnit"
"Flyaway ","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit"
"Recurring","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit"
"Non Recurring","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit"
"Support","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit"
"Other Support","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit"
"Initial Spares","--","--","--","0","--","--","0","MEADS","2013-12","FireUnit"
"MILCON","0","0","--","0","0","0","0","MEADS","2013-12","FireUnit"
"Acq O&M","0","0","--","0","0","0","0","MEADS","2013-12","FireUnit"
"Total","16530.5","16530.5","N/A","2708.8","21839.4","21839.4","3112.4","MEADS","2013-12","FireUnit"
