"UCRhistory","Date","PAUC.ConstantMil","APUC.ConstantMil","PAUC.thenyear","APUC.thenyear","Platform","Source","Section","DeflatorYear"
"Original APB","2004-08-01","344.385","249.981","454.988","345.508","MEADS","2013-12","FireUnit","2004 $M"
"APB as of January 2006","2004-08-01","344.385","249.981","454.988","345.508","MEADS","2013-12","FireUnit","2004 $M"
"Revised Original APB","N/A","N/A","N/A","N/A","N/A","MEADS","2013-12","FireUnit","2004 $M"
"Prior APB","N/A","N/A","N/A","N/A","N/A","MEADS","2013-12","FireUnit","2004 $M"
"Current APB","2004-08-01","344.385","249.981","454.988","345.508","MEADS","2013-12","FireUnit","2004 $M"
"Prior Annual SAR","2012-12-01","N/A","N/A","N/A","N/A","MEADS","2013-12","FireUnit","2004 $M"
"Current Estimate","2013-12-01","N/A","N/A","N/A","N/A","MEADS","2013-12","FireUnit","2004 $M"
