"Quantity","SARbaselineDevelopmentEstimate","CurrentAPBdevelopment","CurrentEstimate","Platform","Source","Section"
"RDT&E","0","0","0","MEADS","2013-12","FireUnit"
"Procurement","48","48","0","MEADS","2013-12","FireUnit"
"Total","48","48","0","MEADS","2013-12","FireUnit"
