"UnitCostReport","UCRoriginalBaseline2004AprAPB.2004mill","CurrentEstimateDec2011.2004mill","pUCRchange","SubsectionName","SubsectionValue","Platform","Source","Section","UCmetric"
"Cost","16530.5","2758.8",NA,NA,NA,"MEADS","2011-12","FireUnit","Program Acquisition Unit Cost (PAUC)"
"Quantity","48","0",NA,NA,NA,"MEADS","2011-12","FireUnit","Program Acquisition Unit Cost (PAUC)"
"Unit Cost","344.385","--","--",NA,NA,"MEADS","2011-12","FireUnit","Program Acquisition Unit Cost (PAUC)"
"Average Procurement Unit Cost (APUC)",NA,NA,NA,"UCmetric","Average Procurement Unit Cost (APUC)","MEADS","2011-12","FireUnit","Average Procurement Unit Cost (APUC)"
"Cost","11999.1","0",NA,NA,NA,"MEADS","2011-12","FireUnit","Average Procurement Unit Cost (APUC)"
"Quantity","48","0",NA,NA,NA,"MEADS","2011-12","FireUnit","Average Procurement Unit Cost (APUC)"
"Unit Cost","249.981","--","--",NA,NA,"MEADS","2011-12","FireUnit","Average Procurement Unit Cost (APUC)"
