"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","460.9","5760","--","6220.9","Base Year 2004 $M","MEADS","2011-12","Missile",NA
"Economic","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","Missile","Previous Changes"
"Quantity","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","Missile","Previous Changes"
"Schedule","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","Missile","Previous Changes"
"Engineering","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","Missile","Previous Changes"
"Estimating","195.5","350.9","--","546.4","Base Year 2004 $M","MEADS","2011-12","Missile","Previous Changes"
"Other","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","Missile","Previous Changes"
"Support","--","8.9","--","8.9","Base Year 2004 $M","MEADS","2011-12","Missile","Previous Changes"
"Subtotal","195.5","359.8","--","555.3","Base Year 2004 $M","MEADS","2011-12","Missile","Previous Changes"
"Economic","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
"Quantity","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
"Schedule","--","48.6","--","48.6","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
"Engineering","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
"Estimating","47.5","10.1","--","57.6","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
"Other","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
"Support","--","-12.8","--","-12.8","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
"Subtotal","47.5","45.9","--","93.4","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
"Total Changes","243","405.7","--  ","648.7","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
"CE - Cost Variance","703.9","6165.7","--","6869.6","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
"CE - Cost & Funding ","703.9","6165.7","--","6869.6","Base Year 2004 $M","MEADS","2011-12","Missile","Current Changes"
