"Col1","Col2","Col3","Col4","Col5","Col6","Platform","Source","Section"
"Original APB","2004-08-01 00:00:00","344.385","249.981","454.988","345.508","MEADS","2013-12","FireUnit"
"APB as of January 2006","2004-08-01 00:00:00","344.385","249.981","454.988","345.508","MEADS","2013-12","FireUnit"
"Revised Original APB","N/A","N/A","N/A","N/A","N/A","MEADS","2013-12","FireUnit"
"Prior APB","N/A","N/A","N/A","N/A","N/A","MEADS","2013-12","FireUnit"
"Current APB","2004-08-01 00:00:00","344.385","249.981","454.988","345.508","MEADS","2013-12","FireUnit"
"Prior Annual SAR","2012-12-01 00:00:00","N/A","N/A","N/A","N/A","MEADS","2013-12","FireUnit"
"Current Estimate","2013-12-01 00:00:00","N/A","N/A","N/A","N/A","MEADS","2013-12","FireUnit"
