"UCRhistory","Date","PAUC.ConstantMil","APUC.ConstantMil","PAUC.thenyear","APUC.thenyear","Platform","Source","Section","DeflatorYear"
"Original APB","2004-08-01","4.071","3.77","5.272","4.957","MEADS","2011-12","Missile","2004 $M"
"APB as of JAN 2006","2004-08-01","4.071","3.77","5.272","4.957","MEADS","2011-12","Missile","2004 $M"
"Revised Original APB","N/A","N/A","N/A","N/A","N/A","MEADS","2011-12","Missile","2004 $M"
"Prior APB","N/A","N/A","N/A","N/A","N/A","MEADS","2011-12","Missile","2004 $M"
"Current APB","2004-08-01","4.071","3.77","5.272","4.957","MEADS","2011-12","Missile","2004 $M"
"Prior Annual SAR","2010-12-01","4.435","4.005","6.06","5.583","MEADS","2011-12","Missile","2004 $M"
"Current Estimate ","2011-12-01","4.496","4.035","6.397","5.881","MEADS","2011-12","Missile","2004 $M"
