"Appropriation","SARbaselineDevelopmentEstimateConstantMil","CurrentAPBdevelopmentObjectiveConstantMil","CurrentAPBdevelopmentThresholdConstantMil","CurrentEstimateConstantMil","SARbaselineDevelopmentEstimateThenYearMil","CurrentAPBdevelopmentObjectiveThenYearMil","CurrentEstimateThenYearMil","Platform","Source","Section","DeflatorYear"
"RDT&E ","460.9","460.9","530","703.9","482","482","788.2","MEADS","2011-12","Missile","2004 $M"
"Procurement","5760","5760","6336","6165.7","7574","7574","8986.9","MEADS","2011-12","Missile","2004 $M"
"Flyaway","5252.9","--","--","5662.5","6914.8","--","8257.9","MEADS","2011-12","Missile","2004 $M"
"Recurring","5252.9","--","--","5590.5","6914.8","--","8170","MEADS","2011-12","Missile","2004 $M"
"Non Recurring","0","-- ","-- ","72","0","-- ","87.9","MEADS","2011-12","Missile","2004 $M"
"Support","507.1","--","--","503.2","659.2","--","729","MEADS","2011-12","Missile","2004 $M"
"Other Support","507.1","--","--","503.2","659.2","--","729","MEADS","2011-12","Missile","2004 $M"
"Initial Spares   ","0","-- ","-- ","0","0","-- ","0","MEADS","2011-12","Missile","2004 $M"
"MILCON","0","0","--","0","0","0","0","MEADS","2011-12","Missile","2004 $M"
"Acq O&M ","0","0","--","0","0","0","0","MEADS","2011-12","Missile","2004 $M"
"Total","6220.9","6220.9","N/A","6869.6","8056","8056","9775.1","MEADS","2011-12","Missile","2004 $M"
