"CurrentChangeExplanations","BaseYearMil","ThenYearMil","Platform","Source","Section","Account"
"Revised escalation indices (Economic)","N/A","-1.1","MEADS","2013-12","Missile","RDT&E"
"Adjustment for current and prior escalation (Estimating)","0.9","1.1","MEADS","2013-12","Missile","RDT&E"
"RDT&E Subtotal","0.9","0","MEADS","2013-12","Missile","RDT&E"
