"UCRhistory","Date","PAUC.ConstantMil","APUC.ConstantMil","PAUC.thenyear","APUC.thenyear","Platform","Source","Section","DeflatorYear"
"Original APB","2004-08-01","4.071","3.77","5.272","4.957","MEADS","2013-12","Missile","2004 $M"
"APB as of January 2006","2004-08-01","4.071","3.77","5.272","4.957","MEADS","2013-12","Missile","2004 $M"
"Revised Original APB","N/A","N/A","N/A","N/A","N/A","MEADS","2013-12","Missile","2004 $M"
"Prior APB","N/A","N/A","N/A","N/A","N/A","MEADS","2013-12","Missile","2004 $M"
"Current APB","2004-08-01","4.071","3.77","5.272","4.957","MEADS","2013-12","Missile","2004 $M"
"Prior Annual SAR","2012-12-01","4.442","3.984","6.327","5.813","MEADS","2013-12","Missile","2004 $M"
"Current Estimate","2013-12-01","4.326","3.867","6.22","5.706","MEADS","2013-12","Missile","2004 $M"
