"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","4531.4","11999.1","--","16530.5","Base Year 2004 $M","MEADS","2011-12","FireUnit",NA
"Economic","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","FireUnit","Previous Changes"
"Quantity","--","-8875.5","--","-8875.5","Base Year 2004 $M","MEADS","2011-12","FireUnit","Previous Changes"
"Schedule","--","-148","--","-148","Base Year 2004 $M","MEADS","2011-12","FireUnit","Previous Changes"
"Engineering","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","FireUnit","Previous Changes"
"Estimating","-1730.9","-716.4","--","-2447.3","Base Year 2004 $M","MEADS","2011-12","FireUnit","Previous Changes"
"Other","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","FireUnit","Previous Changes"
"Support","--","-2180.2","--","-2180.2","Base Year 2004 $M","MEADS","2011-12","FireUnit","Previous Changes"
"Subtotal","-1730.9","-11920.1","--","-13651","Base Year 2004 $M","MEADS","2011-12","FireUnit","Previous Changes"
"Economic","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
"Quantity","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
"Schedule","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
"Engineering","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
"Estimating","-41.7","-79","--","-120.7","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
"Other","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
"Support","--","--","--","--","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
"Subtotal","-41.7","-79","--","-120.7","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
"Total Changes","-1772.6","-11999.1","--  ","-13771.7","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
"CE - Cost Variance","2758.8","--","--","2758.8","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
"CE - Cost & Funding ","2758.8","--","--","2758.8","Base Year 2004 $M","MEADS","2011-12","FireUnit","Current Changes"
