"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform"
"2011",NA,NA,NA,NA,"NATO AGS"
"Prime Contract Proposal Review/Negotiations","3","2010","3","2011","NATO AGS"
"Contract Award","3","2011","3","2011","NATO AGS"
"Design, Development and Demonstration Phase","3","2011","1","2015","NATO AGS"
"Production Phase","2","2015","4","2016","NATO AGS"
