"Col1","Col2","Col3","Col4","Col5","Platform"
"2015",NA,NA,NA,NA,"NATO AGS"
NA,"Start",NA,"End",NA,"NATO AGS"
"Events","Quarter","Year","Quarter","Year","NATO AGS"
"IOC","1","2017","1","2017","NATO AGS"
"FOC","3","2017","3","2017","NATO AGS"
"Design and Development - AGS","1","2014","1","2017","NATO AGS"
"Design and Development - Maritime Mode","1","2014","3","2015","NATO AGS"
"Test and Evaluation Support","1","2014","3","2017","NATO AGS"
"Flight Test","3","2015","3","2016","NATO AGS"
"Tech Support","1","2014","4","2017","NATO AGS"
"Aircraft Delivery","4","2016","2","2017","NATO AGS"
"Ground Station Delivery","4","2016","3","2017","NATO AGS"
