"Col1","Col2","Col3","Col4","Col5","Platform"
"2011",NA,NA,NA,NA,"NATO AGS"
NA,"Start",NA,"End",NA,"NATO AGS"
"Events","Quarter","Year","Quarter","Year","NATO AGS"
"Prime Contract Proposal Review/Negotiations","3","2010","3","2011","NATO AGS"
"Contract Award","3","2011","3","2011","NATO AGS"
"Design, Development and Demonstration Phase","3","2011","1","2015","NATO AGS"
"Production Phase","2","2015","4","2016","NATO AGS"
