"UCRhistory","Date","PAUC.2000mil","APUC.2000mil","PAUC.thenyear","APUC.thenyear","Platform","Source"
"Original APB","2001-03-01 00:00:00","69.052","55.308","85.619","70.79","RQ4","2013-12"
"APB as of January 2006","2002-12-01 00:00:00","101.896","56.953","115.459","65.673","RQ4","2013-12"
"Revised Original APB","2007-03-01 00:00:00","150.067","90.831","180.267","111.53","RQ4","2013-12"
"Prior APB","2007-12-01 00:00:00","101.986","56.953","115.459","65.673","RQ4","2013-12"
"Current APB","2007-03-01 00:00:00","150.067","90.831","180.267","111.53","RQ4","2013-12"
"Prior Annual SAR","2012-12-01 00:00:00","168.327","97.304","200.207","117.74","RQ4","2013-12"
"Current Estimate","2013-12-01 00:00:00","169.893","95.6","202.882","116.08","RQ4","2013-12"
