"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Platform","Source"
"Cost ($ in Millions)","Prior Years","FY 2015","FY 2016","FY 2017 Base","FY 2017 OCO ","FY 2017 Total","FY 2018","FY 2019","FY 2020","FY 2011","Cost to Complete","Total Cost","NATO AGS",2016
"676001",NA,"221.589","232.851","197.486","-","197.486","39.292","-","-","-","-","691.218","NATO AGS",2016
