"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Platform","Source"
"Cost ($ in Millions)","All Prior Years","FY 2014","FY 2015","FY 2016 Base","FY 2016 OCO ","FY 2016 Total","Fy 2017","FY 2018","FY 2019","FY 2020","Cost to Complete","Total Cost","NATO AGS",2015
"676001","-","221.589","232.851","197.486","-","197.486","39.292","-","-","-","-","691.218","NATO AGS",2015
