"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform","Source"
"Prime Contract Proposal Review/Negotiations","3","2010","3","2011","NATO AGS","2011"
"Contract Award","3","2011","3","2011","NATO AGS","2011"
"Design, Development and Demonstration Phase","3","2011","1","2015","NATO AGS","2011"
"Production Phase","2","2015","4","2016","NATO AGS","2011"
