"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Platform","Source"
"Cost ($ in Millions)","FY 2011","FY 2012","FY 2013 Base","FY 2013 OCO ","FY 2013 Total","FY 2014","FY 2015","FY 2016","FY 2017","Cost to Complete","Total Cost","NATO AGS",2012
"Total Program Element","-","-","210.109","-","210.109","264.134","235.757","140","40","Continuing ","Continuing ","NATO AGS",2012
"676001","-","-","210.109","-","210.109","264.134","235.757","140","40","Continuing ","Continuing ","NATO AGS",2012
