"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform","Source","Agency"
"Contract Award","3","2011","3","2011","NATO AGS","2012","Defense-Wide"
"Design, Development and Demonstration Phase","3","2011","1","2015","NATO AGS","2012","Defense-Wide"
"Production Phase","2","2015","4","2016","NATO AGS","2012","Defense-Wide"
