"Description","RDTnE","Proc","MILCON","Total","Platform","Source","History"
"Summary Base Year 2000 $M",NA,NA,NA,NA,"RQ4","201X-XX",NA
"SAR Baseline (Dev Est)","840.4","3484.4","25.5","4350.3","RQ4","201X-XX",NA
"Economic","--","--","--","--","RQ4","201X-XX","Previous Changes"
"Quality","--","-406.8","--","-406.8","RQ4","201X-XX","Previous Changes"
"Schedule","414.4","-357.2","-2.1","55.1","RQ4","201X-XX","Previous Changes"
"Engineering","1405.8","661.3","98.3","2165.4","RQ4","201X-XX","Previous Changes"
"Estimating","355.7","441","-18.2","778.2","RQ4","201X-XX","Previous Changes"
"Other","--","--","--","--","RQ4","201X-XX","Previous Changes"
"Support","73.7","556","2.5","632.2","RQ4","201X-XX","Previous Changes"
"Subtotal","2249.6","894.3","80.5","3224.4","RQ4","201X-XX","Previous Changes"
"Economic","--","--","--","--","RQ4","201X-XX","Current Changes"
"Quality","--","--","--","--","RQ4","201X-XX","Current Changes"
"Schedule","--","--","--","--","RQ4","201X-XX","Current Changes"
"Engineering","11.6","6.4","--","18","RQ4","201X-XX","Current Changes"
"Estimating","135.6","-82.2","--","53.4","RQ4","201X-XX","Current Changes"
"Other","--","--","--","--","RQ4","201X-XX","Current Changes"
"Support","--","-0.9","--","-0.9","RQ4","201X-XX","Current Changes"
"Subtotal","147.2","-76.7","--","70.5","RQ4","201X-XX","Current Changes"
"Total Changes ","2396.8","817.6","80.5","3294.9","RQ4","201X-XX","Current Changes"
"CE - Cost Variance","3237.2","4302","106","7645.2","RQ4","201X-XX","Current Changes"
"CE - Cost & Funding","3237.2","4302","106","7645.2","RQ4","201X-XX","Current Changes"
