"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Platform","Source"
"2012-02-01 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2012
"RDT&E Budget Item Justification",NA,NA,NA,"R-1 Program Element",NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2012
"Appropriation/Budget Activity",NA,NA,NA,"PE 0305220F Global Hawk Development/Fielding",NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2012
"3600: Research, Development, Test & Evaluation, Air Force I BA 7: Operational Systems Development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2012
"COST ($ in Millions)","FY 2011","FY 2012","FY 2013 Base","FY 2013 OCO","FY 2013 Total","FY 2014","FY 2015","FY 2016","FY 2017","Cost to Complete","Total Cost","NATO AGS",2012
"676001: NATO AGS","-","82.906","-","-","-","-","-","-","-","Continuing","Continuing","NATO AGS",2012
