"Col1","Col2","Col3","Col4","Col5","Platform","Source"
"2009-05-09",NA,NA,NA,NA,"NATO AGS",2009
"Defense-Wide",NA,NA,NA,NA,"NATO AGS",2009
"RDT&E Budget Item Justification",NA,NA,NA,"R-1 Program Element","NATO AGS",2009
"Appropriation/Budget Activity",NA,NA,NA,"PE 1001018D8Z - NATO AGS","NATO AGS",2009
"RDT&E, Defense Wide BA# 7",NA,NA,NA,NA,"NATO AGS",2009
"Cost ($ in Millions) ","FY 2008 Actual","DY 2009 Estimate","FY 2010 Estimate ",NA,"NATO AGS",2009
"P018 NATO AGS","16.15","27.274","74.485",NA,"NATO AGS",2009
