"Col1","Col2","Col3","Col4","Col5","Platform"
"2012 - USAF",NA,NA,NA,NA,"NATO AGS"
NA,"Start",NA,"End",NA,"NATO AGS"
"Events","Quarter","Year","Quarter","Year","NATO AGS"
"Design/Development","2","2012","2","2012","NATO AGS"
"Flight Test","3","2012","2","2016","NATO AGS"
"Aircraft Delivery","3","2015","1","2016","NATO AGS"
"Aircraft Delivery","2","2016","4","2016","NATO AGS"
"Ground Station Delivery","4","2015","2","2017","NATO AGS"
