"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Platform","Source"
"2007-02-09",NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2007
"Defense-Wide",NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2007
"RDT&E Budget Item Justification",NA,NA,NA,"R-1 Program Element",NA,NA,NA,NA,"NATO AGS",2007
"Appropriation/Budget Activity",NA,NA,NA,"PE 1001018D8Z - NATO Joint STARS",NA,NA,NA,NA,"NATO AGS",2007
"RDT&E, Defense Wide BA# 7",NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2007
"Cost ($ in Millions) ","FY 2006 Actual ","FY 2007","FY 2008","FY 2009","FY 2010","FY 2011","FY 2012","FY 2013","NATO AGS",2007
"P018 NATO AGS","24.355","41.412","41.466","42.858","50.399","55.927","60.768","66.511","NATO AGS",2007
