"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform","Source","Agency"
"Design/Development","2","2012","2","2012","NATO AGS","2012","Air Force"
"Flight Test","3","2012","2","2016","NATO AGS","2012","Air Force"
"Aircraft Delivery","3","2015","1","2016","NATO AGS","2012","Air Force"
"Aircraft Delivery","2","2016","4","2016","NATO AGS","2012","Air Force"
"Ground Station Delivery","4","2015","2","2017","NATO AGS","2012","Air Force"
