"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Platform","Source"
"Other Program Funding Summary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2013
"Line Item","FY 2012","FY 2013","FY 2014 Base","FY 2014 OCO ","FY 2014 Total","FY 2015","FY 2016","FY 2017","FY 2018","Cost to Complete","Total Cost","NATO AGS",2013
"1: RDT&E AF, PE 0305220F: NATO AGS","0","210.109","264.134",NA,"264.134","235.757","140","40","40.72","Continuing ","Continuing ","NATO AGS",2013
