"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform","Source"
"2015",NA,NA,NA,NA,"NATO AGS","1905-07-04"
"IOC","1","2017","1","2017","NATO AGS","1905-07-04"
"FOC","3","2017","3","2017","NATO AGS","1905-07-04"
"Design and Development - AGS","1","2014","1","2017","NATO AGS","1905-07-04"
"Design and Development - Maritime Mode","1","2014","3","2015","NATO AGS","1905-07-04"
"Test and Evaluation Support","1","2014","3","2017","NATO AGS","1905-07-04"
"Flight Test","3","2015","3","2016","NATO AGS","1905-07-04"
"Tech Support","1","2014","4","2017","NATO AGS","1905-07-04"
"Aircraft Delivery","4","2016","2","2017","NATO AGS","1905-07-04"
"Ground Station Delivery","4","2016","3","2017","NATO AGS","1905-07-04"
