"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform","Agency","Source"
"Design/Development","2","2012","2","2012","NATO AGS","Air Force","1905-07-04"
"Flight Test","3","2012","2","2016","NATO AGS","Air Force","1905-07-04"
"Aircraft Delivery","3","2015","1","2016","NATO AGS","Air Force","1905-07-04"
"Aircraft Delivery","2","2016","4","2016","NATO AGS","Air Force","1905-07-04"
"Ground Station Delivery","4","2015","2","2017","NATO AGS","Air Force","1905-07-04"
