"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Platform","Source"
"2004-02-09 00:00:00",NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2004
"Defense-Wide",NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2004
"RDT&E Budget Item Justification",NA,NA,NA,"R-1 Program Element",NA,NA,NA,"NATO AGS",2004
"Appropriation/Budget Activity",NA,NA,NA,"PE 1001018D8Z - NATO AGS",NA,NA,NA,"NATO AGS",2004
"RDT&E, Defense Wide BA# 7",NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2004
"Cost ($ in Millions) ","FY 2003","FY 2004","FY 2005","FY 2006","FY 2007","FY 2008","FY 2009","NATO AGS",2004
"P018 NATO AGS","0","24.363","30.399","29.547","85.743","131.342","180.234","NATO AGS",2004
