"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Platform","Source"
"2010-02-01 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2010
"Defense-Wide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2010
"RDT&E Budget Item Justification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2010
"Appropriation/Budget Activity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2010
"4000: RDT&E, Defense-Wide BA 7: Operational Systems Development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATO AGS",2010
"COST ($ in Millions)","FY 2009 Actual","FY 2010 Estimate","FY 2011 Base Estimate","FY 2011 OCO Estimate","FY 2011 Total Estimate","FY 2012 Estimate","FY 2013 Estimate","FY 2014 Estimate","FY 2015 Estimate","Cost to Complete","Total Cost","NATO AGS",2010
"P018: NATO AGS","22.471","68.923","93.885","0","93.885","83182","83.579","181.633","252.668","Continuing","Continuing","NATO AGS",2010
